中国共产党章程|||STATUTS DU PARTI COMMUNISTE CHINOIS
第三十条　企业、农村、机关、学校、科研院所、街道社区、社会组织、人民解放军连队和其他基层单位，凡是有正式党员三人以上的，都应当成立党的基层组织。|||Article 30 Des organisations de base du Parti sont créées dans les entreprises, cantons, villages, administrations, écoles, instituts de recherche scientifique, quartiers d’habitation, organisations sociales, compagnies de l’Armée populaire de Libération et autres unités de base, lorsque les membres du Parti y sont au moins au nombre de trois.
党的基层组织，根据工作需要和党员人数，经上级党组织批准，分别设立党的基层委员会、总支部委员会、支部委员会。|||Dans les organisations de base du Parti, des comités de base, des cellules générales ou des cellules du Parti sont établis en fonction des besoins et du nombre des membres du Parti, avec l’approbation de l’organisation du Parti de l’échelon supérieur.
基层委员会由党员大会或代表大会选举产生，总支部委员会和支部委员会由党员大会选举产生，提出委员候选人要广泛征求党员和群众的意见。|||Le comité de base du Parti est élu par l’assemblée générale des membres du Parti ou la réunion des délégués. Le comité de cellule générale et celui de cellule sont élus par l’assemblée générale des membres du Parti. La liste des candidats n’est arrêtée qu’à l’issue d’une large consultation organisée parmi les membres du Parti et les masses populaires.
第三十一条　党的基层委员会、总支部委员会、支部委员会每届任期三年至五年。|||Article 31 Le comité de base, de cellule générale ou de cellule du Parti est élu pour une durée de trois à cinq ans.
基层委员会、总支部委员会、支部委员会的书记、副书记选举产生后，应报上级党组织批准。|||Les candidats une fois élus secrétaire et secrétaires adjoints du comité de base, de cellule générale ou de cellule doivent être soumis à l’approbation de l’organisation du Parti de l’échelon supérieur.
第三十二条　党的基层组织是党在社会基层组织中的战斗堡垒，是党的全部工作和战斗力的基础。|||Article 32 Les organisations de base du Parti jouent le rôle de bastions du Parti dans les unités de base de la société, et elles sont les fondements sur lesquels reposent toute l’action et toute la force combative du Parti.
它的基本任务是：|||Leurs tâches fondamentales sont les suivantes:
（一）宣传和执行党的路线、方针、政策，宣传和执行党中央、上级组织和本组织的决议，充分发挥党员的先锋模范作用，积极创先争优，团结、组织党内外的干部和群众，努力完成本单位所担负的任务。|||Propager et appliquer la ligne, les principes et les mesures politiques du Parti, ainsi que les résolutions du Comité central, des organisations supérieures du Parti et de leur propre organisation, faire jouer pleinement leur rôle d’avant-garde et d’exemple aux membres du Parti, mener les activités pour la création d’organisations de base avancées et l’émergence de membres modèles, unir et organiser les cadres et les masses au sein comme en dehors du Parti, afin qu’ils consacrent toute leur énergie à l’accomplissement des tâches assignées à leur propre unité.
（二）组织党员认真学习马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观、习近平新时代中国特色社会主义思想，推进“两学一做”学习教育常态化制度化，学习党的路线、方针、政策和决议，学习党的基本知识，学习科学、文化、法律和业务知识。|||Veiller à ce que les membres du Parti se penchent sérieusement sur le marxisme-léninisme, la pensée de Mao Zedong, la théorie de Deng Xiaoping, la pensée importante de la « Triple Représentation », le concept de développement scientifique et la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère ; régulariser et institutionnaliser l’éducation dite « deux études et une ligne d’action » ; inciter les membres du Parti à étudier la ligne, les principes, les mesures politiques et les résolutions du Parti, ainsi que les notions de base qui le concernent, et à acquérir des connaissances scientifiques, culturelles, juridiques et professionnelles.
（三）对党员进行教育、管理、监督和服务，提高党员素质，坚定理想信念，增强党性，严格党的组织生活，开展批评和自我批评，维护和执行党的纪律，监督党员切实履行义务，保障党员的权利不受侵犯。|||Éduquer les membres du Parti, les organiser, les contrôler, les aider, améliorer leur formation générale, rendre plus fermes leurs idéaux et convictions, renforcer leur esprit du Parti, les faire participer régulièrement aux activités de leur organisation, veiller à ce qu’ils pratiquent la critique et l’autocritique, défendent et observent la discipline du Parti, et remplissent leurs devoirs, protéger leurs droits contre toute atteinte.
加强和改进流动党员管理。|||Renforcer et améliorer la gestion des membres du Parti appartenant à la catégorie des migrants.
（四）密切联系群众，经常了解群众对党员、党的工作的批评和意见，维护群众的正当权利和利益，做好群众的思想政治工作。|||Rester étroitement liées aux masses, se tenir constamment au courant de leurs critiques et de leurs observations à l’égard des membres et du travail du Parti, défendre les droits et intérêts légitimes de la population, remplir parmi elles leur mission idéologique et politique.
（五）充分发挥党员和群众的积极性创造性，发现、培养和推荐他们中间的优秀人才，鼓励和支持他们在改革开放和社会主义现代化建设中贡献自己的聪明才智。|||Mettre pleinement en valeur l’ardeur et la créativité des membres du Parti et des masses, découvrir, former et recommander les éléments d’élite qui s’y révèlent, les encourager et les soutenir de sorte qu’ils mettent leur intelligence au service de la réforme, de l’ouverture et de la modernisation socialiste.
（六）对要求入党的积极分子进行教育和培养，做好经常性的发展党员工作，重视在生产、工作第一线和青年中发展党员。|||Éduquer les éléments qui désirent sincèrement adhérer au Parti et leur donner une formation, recruter régulièrement de nouveaux membres du Parti en veillant en particulier à le faire parmi les personnes engagées en première ligne dans la production, dans les autres secteurs d’activité et parmi les jeunes.
（七）监督党员干部和其他任何工作人员严格遵守国家法律法规，严格遵守国家的财政经济法规和人事制度，不得侵占国家、集体和群众的利益。|||Veiller à ce que les cadres et travailleurs membres du Parti observent strictement les lois et règlements de l’État, les règlements en vigueur relatifs aux affaires financières et économiques, de même que la réglementation concernant le personnel, veiller à ce qu’ils ne détournent pas à leur profit ce qui est dû à l’État, à la collectivité et au peuple.
（八）教育党员和群众自觉抵制不良倾向，坚决同各种违纪违法行为作斗争。|||Éduquer les membres du Parti et les masses pour qu’ils résistent aux tendances pernicieuses et luttent résolument contre toutes les infractions à la loi et à la discipline.
第三十三条　街道、乡、镇党的基层委员会和村、社区党组织，领导本地区的工作和基层社会治理，支持和保证行政组织、经济组织和群众自治组织充分行使职权。|||Article 33 Les comités de base du Parti dans les quartiers urbains, les cantons et les bourgs, ainsi que les organisations de base du Parti dans les villages et les quartiers d’habitation, sont responsables des activités du Parti et de la gouvernance sociale de base dans leur propre localité. Ils soutiennent les administrations, les organisations économiques, ainsi que les organisations autonomes de masse, dans le libre exercice de leurs fonctions et pouvoirs.
国有企业党委（党组）发挥领导作用，把方向、管大局、保落实，依照规定讨论和决定企业重大事项。|||Le comité (ou groupe dirigeant) du Parti dans une entreprise publique exerce son rôle de direction, maintient l’orientation, maîtrise la situation d’ensemble, veille à la mise en œuvre des mesures prises, discute et prend des décisions, conformément aux règlements en vigueur, sur les affaires d’importance vitale du développement de l’entreprise.
国有企业和集体企业中党的基层组织，围绕企业生产经营开展工作。|||Les organisations de base du Parti dans les entreprises publiques et les entreprises collectives mènent leurs activités en faveur de la production et de l’exploitation de l’entreprise.
保证监督党和国家的方针、政策在本企业的贯彻执行；支持股东会、董事会、监事会和经理（厂长）依法行使职权；全心全意依靠职工群众，支持职工代表大会开展工作；参与企业重大问题的决策；加强党组织的自身建设，领导思想政治工作、精神文明建设和工会、共青团等群团组织。|||Elles assurent et contrôlent l’application des principes et mesures politiques du Parti et de l’État dans leur entreprise, soutiennent l’assemblée générale des actionnaires, le conseil d’administration, le conseil de surveillance, ainsi que le manager (ou directeur d’usine) dans l’exercice légal de leurs fonctions et pouvoirs, s’appuient sans réserve sur les ouvriers et employés, soutiennent l’assemblée des représentants des ouvriers et employés dans ses activités, participent au règlement des problèmes importants de leur entreprise, renforcent leur propre édification, supervisent l’action idéologique et politique, ainsi que la formation sur le plan moral dans leur entreprise, et dirigent les branches du syndicat, de la Ligue de la jeunesse communiste et des autres organisations et groupements de masse dans leur entreprise.
非公有制经济组织中党的基层组织，贯彻党的方针政策，引导和监督企业遵守国家的法律法规，领导工会、共青团等群团组织，团结凝聚职工群众，维护各方的合法权益，促进企业健康发展。|||Dans les organisations économiques non publiques, les organisations de base du Parti doivent, en suivant les orientations et la politique du Parti, faire observer les lois et règlements de l’État et en contrôler l’application ; elles doivent également exercer leur direction sur les organisations et groupements de masse tels que les syndicats et la Ligue de la jeunesse communiste, rassembler la masse des travailleurs autour d’elles et préserver les droits et intérêts légitimes des différentes parties, de manière à assurer le bon développement des entreprises.
社会组织中党的基层组织，宣传和执行党的路线、方针、政策，领导工会、共青团等群团组织，教育管理党员，引领服务群众，推动事业发展。|||Les organisations de base du Parti dans les organisations sociales font connaître et appliquent la ligne, les principes et les mesures politiques du Parti, dirigent les syndicats, la Ligue de la jeunesse communiste et autres organisations et groupements de masse, instruisent et gèrent les membres du Parti, conduisent et servent les masses, et œuvrent pour la cause du Parti.
实行行政领导人负责制的事业单位中党的基层组织，发挥战斗堡垒作用。|||Les organisations de base du Parti jouent le rôle de bastion dans les établissements d’intérêt public qui pratiquent le système de responsabilité du responsable administratif.
实行党委领导下的行政领导人负责制的事业单位中党的基层组织，对重大问题进行讨论和作出决定，同时保证行政领导人充分行使自己的职权。|||Dans les établissements d’intérêt public qui pratiquent le système de responsabilité du responsable administratif sous la direction du comité du Parti, les organisations de base du Parti doivent discuter les problèmes importants avant de prendre les décisions qui s’y rapportent, en assurant en même temps au responsable administratif le libre exercice de ses fonctions et pouvoirs.
各级党和国家机关中党的基层组织，协助行政负责人完成任务，改进工作，对包括行政负责人在内的每个党员进行教育、管理、监督，不领导本单位的业务工作。|||Dans les organismes du Parti et les administrations d’État à tous les échelons, les organisations de base du Parti aident les responsables administratifs à accomplir leur tâche de façon plus efficace, et s’occupent de l’éducation, de la gestion et du contrôle de tous les membres du Parti, y compris les responsables administratifs. Elles n’ont toutefois aucune compétence en ce qui concerne l’activité professionnelle de leur institution.
第三十四条　党支部是党的基础组织，担负直接教育党员、管理党员、监督党员和组织群众、宣传群众、凝聚群众、服务群众的职责。|||Article 34 Les cellules du Parti sont les organisations de base, elles se donnent pour tâche d’éduquer, de gérer et de contrôler directement les adhérents ainsi que d’organiser, de sensibiliser, de rallier et de servir les masses.
第六章　党的干部|||CHAPITRE VI LES CADRES DU PARTI
第三十五条　党的干部是党的事业的骨干，是人民的公仆，要做到忠诚干净担当。|||Article 35 Les cadres du Parti sont l’élément moteur pour la réalisation de l’œuvre du Parti et ils sont au service du peuple. Ils doivent faire preuve de dévouement et d’intégrité et avoir le courage d’assumer leurs responsabilités.
党按照德才兼备、以德为先的原则选拔干部，坚持五湖四海、任人唯贤，坚持事业为上、公道正派，反对任人唯亲，努力实现干部队伍的革命化、年轻化、知识化、专业化。|||Le Parti choisit ses cadres en tenant compte à la fois de leur qualité morale et de leur compétence professionnelle — la priorité étant accordée à la première. Opposé à tout favoritisme, il nomme les cadres selon leur mérite parmi des éléments venus de tous les horizons, et choisit ceux qui sont dévoués à la cause du Parti et font preuve d’impartialité et de loyauté, en veillant à sélectionner des éléments révolutionnaires, jeunes, cultivés et spécialisés dans un domaine précis.
党重视教育、培训、选拔、考核和监督干部，特别是培养、选拔优秀年轻干部。|||Le Parti considère comme une tâche importante l’éducation, la formation, la sélection, l’évaluation et la surveillance des cadres et, en particulier, la formation et le choix de jeunes cadres d’élite.
积极推进干部制度改革。|||Il cherche à promouvoir la réforme du système qui les concerne.
党重视培养、选拔女干部和少数民族干部。|||Le Parti est soucieux de former et de sélectionner des cadres féminins et des cadres issus des minorités ethniques.
第三十六条　党的各级领导干部必须信念坚定、为民服务、勤政务实、敢于担当、清正廉洁，模范地履行本章程第三条所规定的党员的各项义务，并且必须具备以下的基本条件：|||Article 36 Les cadres dirigeants du Parti, à quelque échelon qu’ils se trouvent, doivent avoir des convictions solides, se dévouer au peuple, travailler avec diligence et pragmatisme, assumer dûment leurs responsabilités et faire preuve d’honnêteté et d’intégrité. Ils doivent remplir de façon exemplaire tous les devoirs d’un membre du Parti, tels qu’ils sont stipulés dans l’article 3 des présents statuts, et réunir les conditions élémentaires suivantes :
（一）具有履行职责所需要的马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观的水平，带头贯彻落实习近平新时代中国特色社会主义思想，努力用马克思主义的立场、观点、方法分析和解决实际问题，坚持讲学习、讲政治、讲正气，经得起各种风浪的考验。|||Posséder les connaissances solides sur le marxisme-léninisme, la pensée de Mao Zedong, la théorie de Deng Xiaoping, la pensée importante de la « Triple Représentation » et le concept de développement scientifique qui sont indispensables à l’exercice de leur fonction, être les premiers à mettre en action la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère, analyser et résoudre les problèmes conformément à la position, aux points de vue et à la méthode marxistes, consentir des efforts soutenus pour que la formation sur trois volets — théorique, politique et moral — devienne une pratique courante, de manière à pouvoir affronter n’importe quelle épreuve.
（二）具有共产主义远大理想和中国特色社会主义坚定信念，坚决执行党的基本路线和各项方针、政策，立志改革开放，献身现代化事业，在社会主义建设中艰苦创业，树立正确政绩观，做出经得起实践、人民、历史检验的实绩。|||Être animés du noble idéal communiste et avoir une confiance absolue dans la réalisation du socialisme à la chinoise, appliquer fermement la ligne fondamentale, les principes et les mesures politiques du Parti, être résolument disposés à se consacrer à l’œuvre de réforme, d’ouverture sur l’extérieur et de modernisation du pays, travailler assidûment pour l’édification du socialisme, adopter une attitude correcte sur les mérites des cadres et s’efforcer de réaliser des actions capables de supporter l’épreuve de la pratique et de l’histoire, ainsi que le contrôle de la population.
（三）坚持解放思想，实事求是，与时俱进，开拓创新，认真调查研究，能够把党的方针、政策同本地区、本部门的实际相结合，卓有成效地开展工作，讲实话，办实事，求实效。|||Persister à libérer leur esprit, rechercher la vérité dans les faits, avancer avec le temps, faire œuvre de pionnier, procéder à des enquêtes et à des études minutieuses, combiner les principes et les mesures politiques du Parti avec les réalités de leur localité ou de leur secteur afin d’y accomplir leur travail avec succès, exprimer franchement leurs opinions, et faire du travail solide en recherchant l’efficacité.
（四）有强烈的革命事业心和政治责任感，有实践经验，有胜任领导工作的组织能力、文化水平和专业知识。|||Faire preuve d’une grande ardeur pour la cause révolutionnaire et d’un sens rigoureux des responsabilités politiques, posséder une expérience pratique, avoir les capacités d’organisation, le niveau de culture et le savoir professionnel requis pour assumer un travail de direction.
（五）正确行使人民赋予的权力，坚持原则，依法办事，清正廉洁，勤政为民，以身作则，艰苦朴素，密切联系群众，坚持党的群众路线，自觉地接受党和群众的批评和监督，加强道德修养，讲党性、重品行、作表率，做到自重、自省、自警、自励，反对形式主义、官僚主义、享乐主义和奢靡之风，反对任何滥用职权、谋求私利的行为。|||Exercer d’une manière pertinente les pouvoirs que le peuple leur confère, rester fidèles aux principes, exercer leur activité en conformité avec la loi, se montrer intègres, être dévoués au peuple, donner l’exemple, travailler sans relâche et resserrer les liens avec les masses, suivre la ligne de masse préconisée par le Parti, accepter sincèrement la critique et le contrôle de la part du Parti et des masses, améliorer leur formation sur le plan moral, se conformer à l’esprit de Parti pour agir avec honnêteté et se montrer exemplaires, avoir le sens de la dignité, procéder à des examens de conscience, se tenir sur leurs gardes et se fixer des buts élevés, enfin, combattre le formalisme, la bureaucratie, l’hédonisme, le goût du luxe, les abus de pouvoir et la recherche des gains personnels.
（六）坚持和维护党的民主集中制，有民主作风，有全局观念，善于团结同志，包括团结同自己有不同意见的同志一道工作。|||Maintenir et défendre le centralisme démocratique du Parti, s’imprégner de l’esprit démocratique, ne pas perdre de vue l’intérêt général, savoir unir les camarades, y compris ceux qui ont des opinions différentes, et accepter de collaborer avec eux.
第三十七条　党员干部要善于同党外干部合作共事，尊重他们，虚心学习他们的长处。|||Article 37 Les cadres membres du Parti doivent apprendre à collaborer avec les cadres non communistes, à leur témoigner du respect et à s’en inspirer avec modestie en tenant compte de leurs qualités.
党的各级组织要善于发现和推荐有真才实学的党外干部担任领导工作，保证他们有职有权，充分发挥他们的作用。|||Les organisations du Parti aux différents échelons doivent savoir découvrir les cadres non communistes qui possèdent des capacités et des connaissances réelles pour les proposer à des postes de direction et leur garantir les pouvoirs attachés à leurs fonctions afin qu’ils puissent jouer pleinement leur rôle.
第三十八条　党的各级领导干部，无论是由民主选举产生的，或是由领导机关任命的，他们的职务都不是终身的，都可以变动或解除。|||Article 38 Les cadres dirigeants des organisations du Parti aux différents échelons, qu’ils soient élus démocratiquement ou nommés par les organismes dirigeants, ne conservent pas à vie leurs fonctions et pouvoirs, ils peuvent être mutés ou relevés de leurs fonctions.
年龄和健康状况不适宜于继续担任工作的干部，应当按照国家的规定退、离休。|||Les cadres dont l’âge et l’état de santé ne leur permettent plus d’exercer leurs fonctions doivent, conformément aux règlements de l’État, prendre leur retraite.
第七章　党的纪律|||CHAPITRE VII LA DISCIPLINE DU PARTI
第三十九条　党的纪律是党的各级组织和全体党员必须遵守的行为规则，是维护党的团结统一、完成党的任务的保证。|||Article 39 La discipline du Parti fait partie de la ligne de conduite que doivent suivre tous ses membres et ses organisations à tous les échelons. Elle est le garant de son unité et de l’accomplissement de sa mission.
党组织必须严格执行和维护党的纪律，共产党员必须自觉接受党的纪律的约束。|||Les organisations du Parti devront l’appliquer avec rigueur et la préserver avec soin. Quant à ses membres, ils devront s’y soumettre de leur propre volonté.
第四十条　党的纪律主要包括政治纪律、组织纪律、廉洁纪律、群众纪律、工作纪律、生活纪律。|||Article 40 Les disciplines du Parti sont essentiellement la discipline politique, la discipline organisationnelle, les règles disciplinaires relatives à l’intégrité, aux relations avec les masses populaires, au travail, et à la vie privée.
坚持惩前毖后、治病救人，执纪必严、违纪必究，抓早抓小、防微杜渐，按照错误性质和情节轻重，给以批评教育直至纪律处分。|||Conformément aux principes consistant à tirer la leçon des erreurs passées et à guérir la maladie pour sauver l’homme, à faire régner une discipline rigoureuse et sanctionner toute infraction à la discipline, à corriger les moindres fautes dès leur manifestation et à étouffer le mal dans l’œuf, une critique sera envisagée ou une sanction disciplinaire sera prononcée à l’égard des fautifs selon la nature des erreurs commises et la gravité des cas.
运用监督执纪“四种形态”，让“红红脸、出出汗”成为常态，党纪处分、组织调整成为管党治党的重要手段，严重违纪、严重触犯刑律的党员必须开除党籍。|||La surveillance et l’application de la discipline s’effectuent sous « quatre modalités », pour que les pratiques consistant à « faire rougir et transpirer les fautifs » deviennent usage courant et que la sanction disciplinaire et la mutation des cadres au sein de l’organisation soient des moyens importants de gestion stricte du Parti. Seront exclus du Parti les membres coupables de graves infractions à la discipline ou au code pénal.
党内严格禁止用违反党章和国家法律的手段对待党员，严格禁止打击报复和诬告陷害。|||Il est formellement interdit, au sein du Parti, d’user de mesures contrevenant aux statuts du Parti ou à la loi, d’exercer des représailles et de se livrer à la calomnie à l’encontre de ses membres.
违反这些规定的组织或个人必须受到党的纪律和国家法律的追究。|||Les organisations et les individus qui enfreignent cette règle devront répondre de leurs actes conformément à la discipline du Parti et seront poursuivis en justice.
第四十一条　对党员的纪律处分有五种：警告、严重警告、撤销党内职务、留党察看、开除党籍。|||Article 41 Les sanctions disciplinaires infligées aux membres du Parti sont au nombre de cinq : avertissement, blâme, retrait des fonctions au sein du Parti, mise en observation et exclusion du Parti.
留党察看最长不超过两年。|||La mise en observation d’un membre du Parti ne doit pas excéder deux ans.
党员在留党察看期间没有表决权、选举权和被选举权。|||Pendant cette période, il sera privé du droit de vote comme de celui d’élire et d’être élu.
党员经过留党察看，确已改正错误的，应当恢复其党员的权利；坚持错误不改的，应当开除党籍。|||À l’expiration de cette sanction, s’il s’est véritablement corrigé, ses droits de membre lui seront restitués ; mais il sera exclu du Parti s’il persiste dans ses erreurs.
开除党籍是党内的最高处分。|||L’exclusion est la sanction la plus sévère prise par le Parti.
各级党组织在决定或批准开除党员党籍的时候，应当全面研究有关的材料和意见，采取十分慎重的态度。|||Les organisations du Parti aux différents échelons doivent, quand il s’agit de décider ou d’approuver l’exclusion d’un membre, procéder à une étude complète du dossier et des opinions se rattachant à son cas et en tout état de cause faire preuve du maximum de prudence.
第四十二条　对党员的纪律处分，必须经过支部大会讨论决定，报党的基层委员会批准；如果涉及的问题比较重要或复杂，或给党员以开除党籍的处分，应分别不同情况，报县级或县级以上党的纪律检查委员会审查批准。|||Article 42 La décision portant sanction disciplinaire à l’égard d’un membre du Parti doit être prise par l’assemblée générale de la cellule du Parti après délibération et soumise à l’approbation du comité de base du Parti. S’il s’agit d’un cas relativement important ou complexe, ou de l’exclusion d’un membre du Parti, la décision doit être soumise, selon les cas, à l’examen et à l’approbation de la commission de contrôle de la discipline du Parti à l’échelon du district ou au-dessus.
在特殊情况下，县级和县级以上各级党的委员会和纪律检查委员会有权直接决定给党员以纪律处分。|||Dans des cas exceptionnels, le comité du Parti ou la commission de contrôle de la discipline du Parti à l’échelon du district ou au-dessus ont le droit de décider directement d’appliquer des sanctions disciplinaires à l’encontre d’un membre du Parti.
对党的中央委员会委员、候补委员，给以警告、严重警告处分，由中央纪律检查委员会常务委员会审议后，报党中央批准。|||Une sanction sous forme d’avertissement ou de blâme envisagée contre un membre ou un suppléant du Comité central du Parti sera soumise à l’examen du Comité permanent de la Commission centrale de contrôle de la discipline avant d’être approuvée par le Comité central du Parti.
对地方各级党的委员会委员、候补委员，给以警告、严重警告处分，应由上一级纪律检查委员会批准，并报它的同级党的委员会备案。|||Une telle sanction envisagée contre un membre ou un suppléant d’un comité local du Parti sera approuvée par la commission de contrôle de la discipline de l’échelon immédiatement supérieur et communiquée au comité du Parti du même échelon.
对党的中央委员会和地方各级委员会的委员、候补委员，给以撤销党内职务、留党察看或开除党籍的处分，必须由本人所在的委员会全体会议三分之二以上的多数决定。|||Pour démettre de ses fonctions au sein du Parti, mettre en observation ou exclure un membre ou un suppléant du Comité central ou d’un comité local du Parti, une majorité des deux tiers de la réunion plénière du comité du Parti auquel il appartient est nécessaire.
在全体会议闭会期间，可以先由中央政治局和地方各级委员会常务委员会作出处理决定，待召开委员会全体会议时予以追认。|||Dans l’intervalle des réunions plénières, ces sanctions pourront être décidées par le Bureau politique du Comité central ou par le comité permanent du comité local du Parti, et devront être confirmées ultérieurement par la réunion plénière.
对地方各级委员会委员和候补委员的上述处分，必须经过上级纪律检查委员会常务委员会审议，由这一级纪律检查委员会报同级党的委员会批准。|||L’application de ces sanctions à un membre ou un suppléant d’un comité local du Parti doit être soumise à l’examen du comité permanent de la commission de contrôle de la discipline de l’échelon supérieur, cette dernière doit à son tour la soumettre à l’approbation du comité du Parti du même échelon.
严重触犯刑律的中央委员会委员、候补委员，由中央政治局决定开除其党籍；严重触犯刑律的地方各级委员会委员、候补委员，由同级委员会常务委员会决定开除其党籍。|||La décision d’exclure du Parti des membres ou suppléants du Comité central qui se sont rendus coupables de violation grave du code pénal sera prise par le Bureau politique dudit Comité ; celle d’exclure du Parti des membres et suppléants des comités locaux aux différents échelons coupables de grave manquement au code pénal sera prise par le comité permanent du comité du Parti à l’échelon correspondant.
第四十三条　党组织对党员作出处分决定，应当实事求是地查清事实。|||Article 43 Quand l’organisation du Parti décide d’une sanction contre un membre, elle doit s’efforcer de faire toute la lumière sur les faits en manifestant le plus grand souci de vérité.
处分决定所依据的事实材料和处分决定必须同本人见面，听取本人说明情况和申辩。|||Les sanctions, ainsi que le dossier sur lequel se fonde l’accusation, doivent être portés à la connaissance de l’intéressé, et ladite organisation doit lui accorder le droit de se défendre. S’il estime injuste la décision prise à son égard, l’intéressé peut introduire un pourvoi.
如果本人对处分决定不服，可以提出申诉，有关党组织必须负责处理或者迅速转递，不得扣压。|||L’organisation du Parti concernée est tenue de s’en occuper ou de le transmettre rapidement aux organisations supérieures compétentes, elle ne peut en aucun cas étouffer l’affaire.
对于确属坚持错误意见和无理要求的人，要给以批评教育。|||Il faut critiquer et raisonner les membres qui s’obstinent à défendre une opinion erronée ou à afficher des exigences injustifiées.
第四十四条　党组织如果在维护党的纪律方面失职，必须问责。|||Article 44 Toute organisation du Parti qui manque à son devoir dans le maintien de la discipline du Parti sera tenue responsable.
对于严重违犯党的纪律、本身又不能纠正的党组织，上一级党的委员会在查明核实后，应根据情节严重的程度，作出进行改组或予以解散的决定，并报再上一级党的委员会审查批准，正式宣布执行。|||À l’égard d’une organisation qui a commis de graves infractions à la discipline et qui s’avère incapable de se corriger, le comité du Parti de l’échelon immédiatement supérieur doit, après avoir vérifié les faits et selon la gravité du cas, prendre la décision de remanier sa composition ou de la dissoudre et soumettre cette décision à l’examen et à l’approbation du comité du Parti qui lui est immédiatement supérieur, qui en annoncera l’exécution officielle.
第八章　党的纪律检查机关|||CHAPITRE VIII LES ORGANISMES DE CONTRÔLE DE LA DISCIPLINE DU PARTI
第四十五条　党的中央纪律检查委员会在党的中央委员会领导下进行工作。|||Article 45 La Commission centrale de contrôle de la discipline du Parti mène ses activités sous la direction du Comité central du Parti.
党的地方各级纪律检查委员会和基层纪律检查委员会在同级党的委员会和上级纪律检查委员会双重领导下进行工作。|||Les commissions locales de contrôle de la discipline du Parti aux différents échelons, y compris celles de l’échelon de base, sont soumises à la double direction des comités du Parti aux échelons correspondants et des commissions de contrôle de la discipline aux échelons immédiatement supérieurs.
上级党的纪律检查委员会加强对下级纪律检查委员会的领导。|||La commission de contrôle de la discipline de l’échelon supérieur doit renforcer sa direction sur celle de l’échelon inférieur.
党的各级纪律检查委员会每届任期和同级党的委员会相同。|||La durée du mandat de la commission de contrôle de la discipline du Parti aux différents échelons est la même que celle du comité du Parti aux échelons correspondants.
党的中央纪律检查委员会全体会议，选举常务委员会和书记、副书记，并报党的中央委员会批准。|||La session plénière de la Commission centrale de contrôle de la discipline du Parti élit son comité permanent, ainsi que son secrétaire et ses secrétaires adjoints ; les résultats de ces élections doivent être soumis à l’approbation du Comité central du Parti.
党的地方各级纪律检查委员会全体会议，选举常务委员会和书记、副书记，并由同级党的委员会通过，报上级党的委员会批准。|||La session plénière des commissions locales de contrôle de la discipline du Parti aux différents échelons élit leur comité permanent, ainsi que leur secrétaire et leurs secrétaires adjoints ; les résultats de ces élections doivent être adoptés par le comité du Parti de l’échelon correspondant et approuvés par celui de l’échelon supérieur.
党的基层委员会是设立纪律检查委员会，还是设立纪律检查委员，由它的上一级党组织根据具体情况决定。|||Selon les cas, les organisations du Parti aux échelons immédiatement supérieurs décideront si les comités de base du Parti doivent instituer une commission de contrôle ou simplement désigner un responsable de la discipline.
党的总支部委员会和支部委员会设纪律检查委员。|||Les comités de cellule générale et de cellule du Parti ont seulement le droit de désigner des responsables de la discipline.
党的中央和地方纪律检查委员会向同级党和国家机关全面派驻党的纪律检查组。|||Les commissions de contrôle de la discipline du Parti aux niveaux central et local envoient les équipes de contrôle disciplinaire dans tous les organismes du Parti et de l’État à l’échelon correspondant.
纪律检查组组长参加驻在部门党的领导组织的有关会议。|||Le chef de l’équipe de contrôle disciplinaire participe aux réunions convoquées par l’organe dirigeant du Parti de l’établissement auprès duquel elle est accréditée.
他们的工作必须受到该机关党的领导组织的支持。|||L’organe dirigeant du Parti de chaque établissement a le devoir de soutenir l’équipe de contrôle disciplinaire dans l’accomplissement de sa mission.
第四十六条　党的各级纪律检查委员会是党内监督专责机关，主要任务是：维护党的章程和其他党内法规，检查党的路线、方针、政策和决议的执行情况，协助党的委员会推进全面从严治党、加强党风建设和组织协调反腐败工作。|||Article 46 Les commissions de contrôle de la discipline du Parti aux différents échelons exercent la charge spéciale du contrôle au sein du Parti et ont pour tâches principales de faire observer les statuts et les autres règlements du Parti, de contrôler l’application de la ligne, des principes, des mesures politiques et des résolutions du Parti, ainsi que d’aider les comités du Parti à gérer le Parti avec la plus grande rigueur, à améliorer leur style de travail, à organiser et coordonner la lutte anticorruption.
