政府工作报告|||﻿RAPPORT D’ACTIVITÉ DU GOUVERNEMENT
要加强种质资源保护利用和优良品种选育推广，开展农业关键核心技术攻关。|||Nous devons renforcer la protection et l’utilisation des ressources génétiques ainsi que la sélection et la culture de bonnes variétés de semences, et chercher à réaliser des percées dans les technologies clés et les technologies de base.
提高高标准农田建设标准和质量，完善灌溉设施，强化耕地保护，坚决遏制耕地“非农化”、防止“非粮化”。|||Nous relèverons les normes d’aménagement des champs agricoles répondant à des critères élevés, améliorerons la qualité de ceux-ci, moderniserons les installations d’irrigation, et intensifierons la protection des terres arables tout en interdisant résolument leur utilisation à des fins non agricoles et en évitant leur conversion en terres non céréalières.
推进农业机械化、智能化。|||Nous favoriserons la mécanisation et l’intelligence artificielle dans l’agriculture.
建设国家粮食安全产业带和农业现代化示范区。|||Des zones de production céréalière visant à assurer la sécurité alimentaire et des zones modèles de modernisation agricole seront établies au niveau national.
稳定种粮农民补贴，适度提高稻谷、小麦最低收购价，扩大完全成本和收入保险试点范围。|||Nous stabiliserons les subventions aux cultivateurs de céréales, élèverons de manière appropriée le prix d’achat plancher du riz et du blé, et étendrons les expériences pilotes en matière d’assurances couvrant l’ensemble des coûts de revient de l’agriculture et les revenus des paysans.
稳定粮食播种面积，提高单产和品质。|||Il est nécessaire de stabiliser la superficie des terres réservées aux cultures céréalières et d’améliorer la production par unité de surface ainsi que la qualité des produits cultivés.
多措并举扩大油料生产。|||Diverses mesures seront prises pour accroître la production des oléagineux.
发展畜禽水产养殖，稳定和发展生猪生产。|||L’élevage et l’aquaculture seront développés, l’élevage porcin sera stabilisé et développé.
加强动植物疫病防控。|||La prévention et la maîtrise des épiphyties et des épizooties seront renforcées.
保障农产品市场供应和价格基本稳定。|||Nous veillerons à assurer l’approvisionnement des produits agricoles sur le marché et à maintenir la stabilité des prix.
开展粮食节约行动。|||Des actions seront menées afin de réduire le gaspillage de nourriture.
解决好吃饭问题始终是头等大事，我们一定要下力气也完全有能力保障好14亿人的粮食安全。|||Régler au mieux la question de la nourriture demeure une tâche primordiale, et nous déploierons de grands efforts pour garantir la sécurité alimentaire des 1,4 milliard de Chinois. Nous sommes tout à fait capables de relever ce défi.
扎实推进农村改革和乡村建设。|||Poursuivre fermement la réforme et le développement du milieu rural.
巩固和完善农村基本经营制度，保持土地承包关系稳定并长久不变，稳步推进多种形式适度规模经营，加快发展专业化社会化服务。|||Pour ce faire, nous devons, en consolidant et améliorant le système fondamental d’exploitation rurale, stabiliser et maintenir à long terme les contrats forfaitaires des terres, faire progresser méthodiquement les exploitations à grande échelle sous diverses formes et accélérer le développement des services spécialisés et socialisés.
稳慎推进农村宅基地制度改革试点。|||Nous poursuivrons prudemment et régulièrement les essais de réforme du système de gestion de terrains réservés au logement individuel dans les régions rurales.
发展新型农村集体经济。|||L’économie collective rurale de type nouveau sera développée.
深化供销社、集体林权、国有林区林场、农垦等改革。|||Nous mènerons en profondeur la réforme concernant, entre autres, les coopératives d’approvisionnement et de vente, la propriété forestière collective, les plantations et zones forestières d’État ainsi que les zones de défrichement.
提高土地出让收入用于农业农村比例。|||La part des crédits destinés à l’agriculture et aux régions rurales provenant des recettes réalisées par la cession de terres sera augmentée.
强化农村基本公共服务和公共基础设施建设，促进县域内城乡融合发展。|||Nous renforcerons les services publics de base et la construction d’infrastructures publiques, et favoriserons le développement intégré des villes et des campagnes au niveau des districts.
启动农村人居环境整治提升五年行动。|||Une action quinquennale visant à améliorer l’habitat rural sera lancée.
加强农村精神文明建设。|||Les valeurs spirituelles seront renforcées dans les régions rurales.
保障农民工工资及时足额支付。|||Nous assurerons le paiement ponctuel et intégral des travailleurs migrants.
加快发展乡村产业，壮大县域经济，加强对返乡创业的支持，拓宽农民就业渠道。|||Nous accélérerons le développement de l’agro-industrie, renforcerons l’économie au niveau des districts, apporterons un soutien actif aux paysans migrants qui retournent dans leur région d’origine pour y créer leur propre entreprise et multiplierons les voies d’accès à l’emploi pour les paysans.
千方百计使亿万农民多增收、有奔头。|||En un mot, nous ferons de notre mieux pour que nos centaines de millions de paysans voient leurs revenus augmenter et puissent rêver d’un bel avenir.
（六）实行高水平对外开放，促进外贸外资稳中提质。|||Poursuivre une ouverture de haut niveau, et améliorer la qualité du commerce extérieur et des investissements étrangers dans la stabilité.
实施更大范围、更宽领域、更深层次对外开放，更好参与国际经济合作。|||Il importe de poursuivre notre ouverture à une plus grande échelle et de manière plus ample et profonde, afin de mieux participer à la coopération économique internationale.
推动进出口稳定发展。|||Favoriser le développement régulier de l’import-export.
加强对中小外贸企业信贷支持，扩大出口信用保险覆盖面、优化承保和理赔条件，深化贸易外汇收支便利化试点。|||Nous veillerons à accorder davantage de crédits aux PME qui font du commerce extérieur, à étendre la couverture de l’assurance-crédit export, à optimiser les conditions d’assurance et d’indemnisation offertes par les assureurs, et à intensifier les expériences pilotes visant à faciliter les recettes et les dépenses en devises étrangères dans le commerce.
稳定加工贸易，发展跨境电商等新业态新模式，支持企业开拓多元化市场。|||Nous travaillerons à stabiliser le commerce de sous-traitance, développerons le cybercommerce transfrontalier et d’autres nouvelles activités et nouveaux modèles commerciaux, et encouragerons les entreprises à diversifier leur marché.
发展边境贸易。创新发展服务贸易。|||Nous développerons le commerce transfrontalier et favoriserons le développement innovant du commerce des services.
优化调整进口税收政策，增加优质产品和服务进口。|||Les politiques de taxation à l’importation seront optimisées ou réajustées, et nous augmenterons l’importation des produits et services de haute qualité.
加强贸易促进服务，办好进博会、广交会、服贸会及首届中国国际消费品博览会等重大展会。|||Nous renforcerons les services en faveur du commerce et organiserons au mieux l’Exposition internationale d’importation de Chine, la Foire chinoise de l’importation et de l’exportation (Foire de Canton), le Salon international du commerce des services de Chine, la première édition de l’Exposition internationale des produits de consommation de Chine et d’autres expositions importantes.
推动国际物流畅通，清理规范口岸收费，不断提升通关便利化水平。|||Des efforts seront déployés pour favoriser la logistique internationale et mieux organiser et réglementer la perception des redevances dans le processus de dédouanement, de manière à faciliter sans cesse le dédouanement dans l’import-export.
积极有效利用外资。|||Profiter activement et efficacement des capitaux étrangers.
进一步缩减外资准入负面清单。|||Nous continuerons à réduire la liste négative d’accès au marché pour les investissements étrangers.
推动服务业有序开放，增设服务业扩大开放综合试点，制定跨境服务贸易负面清单。|||Des efforts pour promouvoir l’ouverture ordonnée des services seront déployés, les expériences pilotes visant à élargir l’ouverture dans le secteur des services seront multipliées, et une liste négative du commerce des services transfrontalier sera établie.
推进海南自由贸易港建设，加强自贸试验区改革开放创新，推动海关特殊监管区域与自贸试验区统筹发展，发挥好各类开发区开放平台作用。|||Nous ferons progresser la construction du port de libre-échange de Hainan, et nous nous efforcerons de renforcer la réforme, l’ouverture et l’innovation dans les zones pilotes de libre-échange, de promouvoir un développement coordonné des zones franches complexes placées sous contrôle douanier spécial et des zones pilotes de libre-échange, et de mieux valoriser le rôle de plateformes d’ouverture des différentes zones de développement.
促进内外资企业公平竞争，依法保护外资企业合法权益。|||Nous encouragerons la concurrence loyale entre les entreprises chinoises et étrangères et protègerons, en vertu de la loi, les droits et intérêts légitimes des entreprises à capitaux étrangers.
欢迎外商扩大在华投资，分享中国开放的大市场和发展机遇。|||Nous accueillerons à bras ouverts les investisseurs étrangers pour qu’ils accroissent leurs investissements en Chine, profitent de notre immense marché ouvert et partagent les opportunités de développement.
高质量共建“一带一路”。|||Réaliser une coopération de haute qualité dans le cadre de l’initiative « Ceinture et Route ».
坚持共商共建共享，坚持以企业为主体、遵循市场化原则，健全多元化投融资体系，强化法律服务保障，有序推动重大项目合作，推进基础设施互联互通。|||En insistant sur le principe « concertation, synergie et partage », en faisant jouer aux entreprises le rôle principal et en respectant les lois du marché, nous perfectionnerons le système diversifié d’investissement et de financement, renforcerons la garantie des services juridiques, promouvrons de manière ordonnée la coopération dans le cadre de grands projets, et renforcerons l’interconnexion des infrastructures.
提升对外投资合作质量效益。|||La qualité et la rentabilité de notre coopération avec l’extérieur et de nos investissements à l’étranger seront améliorées.
深化多双边和区域经济合作。坚定维护多边贸易体制。|||Approfondir la coopération économique multilatérale, bilatérale et régionale.
推动区域全面经济伙伴关系协定尽早生效实施、中欧投资协定签署，加快中日韩自贸协定谈判进程，积极考虑加入全面与进步跨太平洋伙伴关系协定。|||Nous sauvegarderons résolument le système commercial multilatéral, favoriserons l’entrée en vigueur et la matérialisation au plus vite de l’accord du Partenariat régional économique global ainsi que la signature de l’accord d’investissement Chine-UE, accélérerons les négociations sur la création de la zone de libre-échange Chine-Japon-République de Corée, et envisagerons activement de prendre part au Partenariat transpacifique global et progressiste[ En anglais : Comprehensive and Progressive Agreement for Trans-Pacific Partnership ou CPTPP — N.D.T.].
在相互尊重基础上，推动中美平等互利经贸关系向前发展。|||Sur la base du respect mutuel, nous ferons progresser les relations économiques et commerciales sino-américaines fondées sur l’égalité et les bénéfices mutuels.
中国愿与世界各国扩大相互开放，实现互利共赢。|||La Chine est prête à élargir l’ouverture mutuelle avec différents pays du monde pour réaliser des bénéfices réciproques.
（七）加强污染防治和生态建设，持续改善环境质量。|||Renforcer la lutte antipollution et la construction écologique, et travailler constamment à améliorer l’environnement.
深入实施可持续发展战略，巩固蓝天、碧水、净土保卫战成果，促进生产生活方式绿色转型。|||Il faut mener en profondeur la stratégie du développement durable, consolider les résultats obtenus dans la campagne « ciel bleu, eaux limpides, terre propre », et promouvoir la transition vers des modes de vie et de production écologiques.
继续加大生态环境治理力度。|||Intensifier les efforts dans l’aménagement de l’environnement.
强化大气污染综合治理和联防联控，加强细颗粒物和臭氧协同控制，北方地区清洁取暖率达到70%。|||Nous renforcerons le traitement global de la pollution atmosphérique et les actions synergiques de prévention et de contrôle en la matière, intensifierons le contrôle coordonné de l’émission d’ozone et de particules fines. Nous ferons en sorte que le taux d’utilisation des énergies propres pour le chauffage atteigne 70 % dans le Nord.
整治入河入海排污口和城市黑臭水体，提高城镇生活污水收集和园区工业废水处置能力，严格土壤污染源头防控，加强农业面源污染治理。|||L’aménagement de l’évacuation des eaux usées dans les cours d’eau et le traitement des eaux très polluées dans les zones urbaines seront poursuivis, et la capacité à collecter les eaux usées ménagères des agglomérations urbaines et à gérer les eaux usées des parcs industriels sera renforcée. La prévention et le contrôle de la pollution du sol à la source seront soumis à des normes plus sévères, et le traitement de la pollution « diffuse » dans les régions rurales sera amélioré.
继续严禁洋垃圾入境。|||L’entrée en Chine de déchets étrangers continuera à être interdite.
有序推进城镇生活垃圾分类处置。|||Le tri et le traitement des ordures ménagères en milieu urbain seront promus de manière ordonnée.
推动快递包装绿色转型。|||Nous promouvrons l’introduction d’emballages écologiques dans la livraison à domicile.
加强危险废物医疗废物收集处理。|||La collecte et le traitement des déchets dangereux et des déchets médicaux seront renforcés.
研究制定生态保护补偿条例。|||Nous ferons des études et finirons l’élaboration du règlement de compensation pour la protection des écosystèmes.
落实长江十年禁渔，实施生物多样性保护重大工程，科学推进荒漠化、石漠化、水土流失综合治理，持续开展大规模国土绿化行动，保护海洋生态环境，推进生态系统保护和修复，让我们生活的家园拥有更多碧水蓝天。|||L’interdiction de la pêche pour dix ans dans le Changjiang sera appliquée ; les mégaprojets visant à sauvegarder la biodiversité seront mis en œuvre ; la lutte contre la désertification, l’extension des déserts rocheux et l’érosion des sols sera menée de façon scientifique ; la campagne de reboisement nationale à grande échelle sera poursuivie ; la protection du milieu marin sera renforcée ; la protection et la restauration des écosystèmes seront poussées en avant. Toutes ces mesures devraient nous permettre de jouir d’eaux plus pures et de ciels plus bleus.
扎实做好碳达峰、碳中和各项工作。|||Mener à bien le travail concernant l’atteinte du pic d’émission de carbone et la neutralité carbone.
制定2030年前碳排放达峰行动方案。|||Un plan d’action visant à parvenir au pic d’émission de carbone d’ici 2030 sera élaboré.
优化产业结构和能源结构。|||Nous veillerons à optimiser la structure de nos industries et le mix énergétique.
推动煤炭清洁高效利用，大力发展新能源，在确保安全的前提下积极有序发展核电。|||Nous favoriserons la consommation propre et efficace du charbon, stimulerons l’essor des énergies nouvelles, et développerons de manière active et ordonnée l’électricité nucléaire en garantissant la sécurité.
扩大环境保护、节能节水等企业所得税优惠目录范围，促进新型节能环保技术、装备和产品研发应用，培育壮大节能环保产业，推动资源节约高效利用。|||Nous élargirons le Catalogue des activités industrielles liées à la protection de l’environnement et aux économies d’eau et d’énergie bénéficiant d’une politique préférentielle pour l’IRE ; favoriserons la R-D et l’utilisation des technologies, des équipements et des produits de type nouveau favorisant l’économie d’énergie ainsi que la protection de l’environnement ; développerons les industries spécialisées dans ces domaines ; et favoriserons l’utilisation économe et efficace de nos ressources.
加快建设全国用能权、碳排放权交易市场，完善能源消费双控制度。|||Le marché d’échange de quotas de consommation d’énergie et d’émission de CO2 se développera de façon accélérée, et le système visant à contrôler à la fois l’intensité et le volume global de la consommation d’énergie sera perfectionné.
实施金融支持绿色低碳发展专项政策，设立碳减排支持工具。|||Des mesures spéciales de soutien financier au développement vert et bas carbone seront mises en œuvre, et des instruments politiques en faveur de la réduction d’émission de carbone seront créés.
提升生态系统碳汇能力。|||La capacité de séquestration du carbone des écosystèmes sera augmentée.
中国作为地球村的一员，将以实际行动为全球应对气候变化作出应有贡献。|||Membre du village planétaire, la Chine apportera par des actions concrètes sa contribution à la lutte mondiale contre le changement climatique.
（八）切实增进民生福祉，不断提高社会建设水平。|||Accroître le bien-être de la population et améliorer sans cesse le niveau d’édification sociale.
注重解民忧、纾民困，及时回应群众关切，持续改善人民生活。|||Nous chercherons à résoudre les problèmes et difficultés de la population et à répondre immédiatement à ses préoccupations, afin d’améliorer continuellement son niveau de vie.
发展更加公平更高质量的教育。|||Développer une éducation plus équitable et de meilleure qualité.
构建德智体美劳全面培养的教育体系。|||Il faut mettre en place un système éducatif qui favorise l’épanouissement des élèves sur le plan de la moralité, l’intelligence, l’appréciation artistique, la culture physique et le travail manuel.
推动义务教育优质均衡发展和城乡一体化，加快补齐农村办学条件短板，健全教师工资保障长效机制，改善乡村教师待遇。|||Nous promouvrons le développement équilibré et de qualité de l’enseignement obligatoire et son intégration en ville comme à la campagne, comblerons plus rapidement les failles dans les conditions des écoles rurales, perfectionnerons les mécanismes permanents visant à garantir le salaire des enseignants, et améliorerons le traitement des enseignants dans les régions rurales.
进一步提高学前教育入园率，完善普惠性学前教育保障机制，支持社会力量办园。|||Le taux d’accès à l’enseignement préscolaire sera augmenté, le mécanisme de garantie de l’éducation préscolaire profitable à tous sera perfectionné, et les acteurs privés seront encouragés à ouvrir des écoles maternelles.
鼓励高中阶段学校多样化发展，加强县域高中建设。|||Nous encouragerons également la diversification des écoles secondaires du deuxième cycle et renforcerons le développement des lycées de district.
增强职业教育适应性，深化产教融合、校企合作，深入实施职业技能等级证书制度。|||Nous adapterons mieux l’enseignement professionnel aux besoins de la société, favoriserons l’intégration entre la production et l’éducation de même que la coopération entre l’école et l’entreprise, et continuerons à appliquer le système de certificats d’aptitudes professionnelles.
办好特殊教育、继续教育，支持和规范民办教育发展。|||Nous mènerons à bien l’éducation spéciale et la formation continue, soutiendrons et réglementerons le développement de l’enseignement privé.
分类建设一流大学和一流学科，加快优化学科专业结构，加强基础学科和前沿学科建设，促进新兴交叉学科发展。|||Nous créerons systématiquement des universités et des disciplines de première classe, accélérerons l’optimisation de la structure des disciplines et des spécialités, renforcerons le développement des disciplines de base et des discipline avancées, et favoriserons le développement des disciplines croisées émergentes.
支持中西部高等教育发展。|||Nous soutiendrons le développement de l’enseignement supérieur dans les régions du Centre et de l’Ouest.
加大国家通用语言文字推广力度。|||Nous intensifierons la promotion de la langue et de l’écriture chinoises standard.
发挥在线教育优势，完善终身学习体系。|||Nous déploierons pleinement les avantages de l’éducation en ligne et améliorerons le système d’apprentissage tout au long de la vie.
倡导全社会尊师重教。|||Nous renforcerons le sentiment de respect à l’égard des enseignants et de l’éducation au sein de la société.
深化教育评价改革，健全学校家庭社会协同育人机制，规范校外培训。|||Nous approfondirons la réforme de l’évaluation éducative, perfectionnerons le mécanisme d’éducation collaborative école-famille-société et réglementerons la formation extrascolaire.
加强师德师风建设。|||Nous renforcerons l’éthique et le style de travail des enseignants.
在教育公平上迈出更大步伐，更好解决进城务工人员子女就学问题，高校招生继续加大对中西部和农村地区倾斜力度，努力让广大学生健康快乐成长，让每个孩子都有人生出彩的机会。|||Nous ferons progresser l’équité de l’éducation : la scolarisation des enfants des travailleurs migrants sera mieux assurée ; les établissements d’enseignement supérieur continueront à admettre un plus grand nombre d’élèves provenant du Centre, de l’Ouest ou des régions rurales. Notre but est d’arriver à ce que tous les élèves grandissent sainement et joyeusement, et que chaque enfant ait la chance de réaliser pleinement son potentiel.
推进卫生健康体系建设。|||Promouvoir l’amélioration de notre système de santé.
坚持预防为主，持续推进健康中国行动，深入开展爱国卫生运动，深化疾病预防控制体系改革，强化基层公共卫生体系，创新医防协同机制，健全公共卫生应急处置和物资保障体系，建立稳定的公共卫生事业投入机制。|||En adhérant au principe de « la prévention d’abord », nous poursuivrons constamment l’action « Chine saine », mènerons en profondeur le mouvement patriotique en faveur de l’hygiène, approfondirons la réforme du système de prévention et de contrôle des maladies, renforcerons le système de santé publique aux échelons de base, innoverons en matière de mécanismes de coordination entre les soins et la prévention, perfectionnerons les systèmes de garantie du matériel et de réponse rapide en cas de situation d’urgence de santé publique, et mettrons en place un mécanisme d’investissement stable dans ce domaine.
加强精神卫生和心理健康服务。|||Les services en faveur de l’hygiène mentale et de la santé psychologique seront renforcés.
深化公立医院综合改革，扩大国家医学中心和区域医疗中心建设试点，加强全科医生和乡村医生队伍建设，提升县级医疗服务能力，加快建设分级诊疗体系。|||Nous approfondirons la réforme générale des hôpitaux publics, élargirons les expériences pilotes en matière de construction de centres nationaux de médecine et de centres régionaux de soins médicaux, renforcerons le corps des médecins généralistes et de campagne, améliorerons la capacité des services médicaux au niveau des districts, et mettrons rapidement en place un système de traitement échelonné selon la gravité des maladies.
坚持中西医并重，实施中医药振兴发展重大工程。|||Nous accorderons une importance égale à la médecine chinoise et à la médecine occidentale, tout en lançant un grand projet de renouveau de la médecine et de la pharmacologie traditionnelles chinoises.
支持社会办医，促进“互联网+医疗健康”规范发展。|||Nous soutiendrons la création de cliniques et d’hôpitaux privés, et réglementerons le développement de la formule « Internet + Services médicaux et sanitaires ».
强化食品药品疫苗监管。|||Le contrôle et la gestion des aliments, médicaments et vaccins seront renforcés.
优化预约诊疗等便民措施，努力让大病、急难病患者尽早得到治疗。|||Nous perfectionnerons les consultations sur rendez-vous et d’autres mesures de confort, de sorte que les personnes atteintes de maladies graves ou les malades ayant besoin d’un traitement urgent reçoivent le plus tôt possible les soins nécessaires.
居民医保和基本公共卫生服务经费人均财政补助标准分别再增加30元和5元，推动基本医保省级统筹、门诊费用跨省直接结算。|||Nous augmenterons de 30 yuans et de 5 yuans par habitant les subventions accordées aux adhérents à l’assurance maladie et aux services sanitaires de base, promouvrons la gestion centralisée au niveau provincial de l’assurance maladie de base, et réaliserons le règlement interprovincial des frais de consultation.
建立健全门诊共济保障机制，逐步将门诊费用纳入统筹基金报销，完善短缺药品保供稳价机制，采取把更多慢性病、常见病药品和高值医用耗材纳入集中带量采购等办法，进一步明显降低患者医药负担。|||Nous établirons des mécanismes de solidarité et de garantie pour les consultations médicales qui devraient permettre graduellement le remboursement des frais sur ce chapitre par les fonds de gestion centralisée, et perfectionnerons les mécanismes d’approvisionnement et de stabilisation des prix des médicaments très demandés, tout en recourant à l’achat centralisé et massif d’un plus grand nombre de médicaments pour les maladies chroniques et courantes de même que des consommables médicaux de grande valeur, tout cela afin de diminuer sensiblement les charges des patients.
保障好群众住房需求。|||Satisfaire la demande en logement de la population.
坚持房子是用来住的、不是用来炒的定位，稳地价、稳房价、稳预期。|||Conformément au principe dit « le logement, c’est pour habiter, pas pour spéculer », nous veillerons à stabiliser les prix de l’immobilier et des terrains ainsi que les anticipations.
解决好大城市住房突出问题，通过增加土地供应、安排专项资金、集中建设等办法，切实增加保障性租赁住房和共有产权住房供给，规范发展长租房市场，降低租赁住房税费负担，尽最大努力帮助新市民、青年人等缓解住房困难。|||Pour bien régler les problèmes saillants du logement dans les grandes villes, grâce à l’offre accrue des terrains, à l’octroi de fonds spéciaux et à la construction centralisée, nous augmenterons l’offre des logements locatifs sociaux et des logements en copropriété, réglementerons le marché des baux à long terme, et réduirons les impôts et frais liés aux logements locatifs, afin d’aider les nouveaux citadins et les jeunes.
加强基本民生保障。|||Renforcer la garantie des moyens de subsistance de la population.
提高退休人员基本养老金、优抚对象抚恤和生活补助标准。推进基本养老保险全国统筹，规范发展第三支柱养老保险。|||Nous augmenterons la pension de vieillesse de base des retraités, majorerons les pensions et allocations accordées aux ayants droit traditionnels [militaires invalides, familles de militaires et d’autres agents de l’État morts en service commandé, etc.], promouvrons la gestion centralisée au niveau national de l’assurance vieillesse de base, et réglementerons le développement du 3e pilier de l’assurance vieillesse.
完善全国统一的社会保险公共服务平台。|||La plateforme nationale unifiée des services publics d’assurance sociale sera parachevée.
加强军人军属、退役军人和其他优抚对象优待工作，健全退役军人工作体系和保障制度。|||Nous augmenterons les avantages accordés aux militaires et à leurs familles, aux militaires démobilisés et à d’autres bénéficiaires, tout en améliorant les systèmes de travail et de garantie pour les militaires démobilisés.
继续实施失业保险保障扩围政策。|||Nous continuerons à étendre la couverture de l’assurance chômage.
促进医养康养相结合，稳步推进长期护理保险制度试点。|||Nous favoriserons l’association entre soins médicaux et l’aide paramédicale pour les séniors, et multiplierons les expériences pilotes en matière de système d’assurance pour les soins de longue durée.
发展普惠型养老服务和互助性养老。|||Nous développerons, en faveur des personnes âgées, des services accessibles à tous et des services basés sur l’entraide ; nous développerons les services de garde d’enfants en bas âge.
发展婴幼儿照护服务。发展社区养老、托幼、用餐、保洁等多样化服务，加强配套设施和无障碍设施建设，实施更优惠政策，让社区生活更加便利。|||Nous développerons également les services de proximité diversifiés tels que les services de soins aux personnes âgées, la garde d’enfants, les cuisines de quartier et les services de nettoyage à domicile, renforcerons la construction des installations d’accompagnement et des installations sans obstacle, et appliquerons des politiques plus avantageuses, afin que la vie des habitants devienne de plus en plus commode.
完善传统服务保障措施，为老年人等群体提供更周全更贴心的服务。推进智能化服务要适应老年人、残疾人需求，并做到不让智能工具给他们日常生活造成障碍。|||L’amélioration des mesures de garantie des services traditionnels devrait permettre d’assurer aux populations âgées des services personnalisés de bonne qualité, et nous veillerons à ce que la promotion des services intelligents adaptés aux besoins des personnes âgées et des handicapés facilite leur vie quotidienne, au lieu de la rendre plus compliquée.
健全帮扶残疾人、孤儿等社会福利制度，加强残疾预防，提升残疾康复服务质量。|||Nous perfectionnerons le régime de bien-être social pour les personnes handicapées et les orphelins, renforcerons la prévention du handicap et améliorerons la qualité des services de rééducation des personnes handicapées.
分层分类做好社会救助，及时帮扶受疫情灾情影响的困难群众，坚决兜住民生底线。|||Nous assurerons une assistance sociale catégorisée et hiérarchisée, en vue d’aider en temps utile tous ceux qui sont en difficulté à cause de l’épidémie et des calamités naturelles et de garantir leurs moyens de subsistance.
更好满足人民群众精神文化需求。|||Mieux satisfaire les nouveaux besoins culturels et spirituels de la population.
培育和践行社会主义核心价值观，弘扬伟大抗疫精神和脱贫攻坚精神，推进公民道德建设。|||Il nous faudra développer et pratiquer les valeurs essentielles socialistes, mettre à l’honneur l’esprit de lutte contre le COVID-19 et l’esprit de la lutte contre la pauvreté, et impulser un nouvel élan à l’éducation civique.
繁荣新闻出版、广播影视、文学艺术、哲学社会科学和档案等事业。|||Nous ferons prospérer la presse, l’édition, la radiodiffusion, le cinéma, la télévision, la littérature, les arts, la philosophie, les sciences sociales et l’archivistique.
加强互联网内容建设和管理，发展积极健康的网络文化。|||Tout en travaillant à enrichir et à mieux gérer les sites Internet, nous favoriserons le développement d’une cyberculture saine et positive.
传承弘扬中华优秀传统文化，加强文物保护利用和非物质文化遗产传承，建设国家文化公园。|||Nous perpétuerons et ferons rayonner les fleurons de la culture traditionnelle chinoise. La sauvegarde et l’exploitation du patrimoine matériel, ainsi que la perpétuation du patrimoine culturel immatériel seront renforcées. Des parcs culturels nationaux seront créés.
推进城乡公共文化服务体系一体建设，创新实施文化惠民工程，倡导全民阅读。|||Il faudra promouvoir l’intégration des systèmes de services culturels publics urbains et ruraux, innover dans l’exécution des projets culturels bénéficiant à tous, et encourager la lecture au sein de la population.
深化中外人文交流。|||Nous approfondirons les échanges culturels avec les pays étrangers.
完善全民健身公共服务体系。精心筹办北京冬奥会、冬残奥会等综合性体育赛事。|||Tout en améliorant les services publics permettant à tous de pratiquer une activité sportive, nous organiserons avec le plus grand soin les jeux Olympiques et Paralympiques d’hiver à Beijing ainsi que d’autres activités sportives pluridisciplinaires.
加强和创新社会治理。|||Renforcer et renouveler la gouvernance sociale.
夯实基层社会治理基础，健全城乡社区治理和服务体系，推进市域社会治理现代化试点。|||Pour cela, il faudra consolider le fondement de la gouvernance sociale à la base, améliorer le système de gestion et de services dans les quartiers d’habitation urbains et ruraux, ainsi que promouvoir les expériences pilotes en matière de modernisation de la gouvernance sociale au niveau municipal.
加强社会信用体系建设。|||Le système de crédit social sera amélioré.
大力发展社会工作，支持社会组织、人道救助、志愿服务、公益慈善发展。|||Nous développerons vigoureusement le travail social, soutiendrons le développement des organisations sociales, de l’aide humanitaire, du bénévolat, des services d’intérêt public et des œuvres de bienfaisance.
保障妇女、儿童、老年人、残疾人合法权益。|||Les droits et intérêts légitimes des femmes, des enfants et des personnes âgées ou handicapées seront protégés.
继续完善信访制度，推进矛盾纠纷多元化解。|||Nous continuerons à améliorer le système de traitement des doléances populaires orales ou écrites, et favoriserons le règlement par de multiples moyens des contradictions et des litiges.
加强法律援助工作，启动实施“八五”普法规划。|||Nous renforcerons l’assistance juridique. Le programme de vulgarisation du droit inscrit dans le VIIIe Plan quinquennal démarrera.
加强应急救援力量建设，提高防灾减灾抗灾救灾能力，切实做好洪涝干旱、森林草原火灾、地质灾害、地震等防御和气象服务。|||Nous renforcerons les équipes de sauvetage d’urgence et améliorerons notre capacité à prévenir et combattre les calamités naturelles, à limiter leurs conséquences et à venir en aide aux sinistrés. La défense contre les calamités naturelles telles que les inondations, la sécheresse, l’incendie de forêt ou de steppe, les risques géologiques et les tremblements de terre, ainsi que les services météorologiques seront menés à bien.
完善和落实安全生产责任制，深入开展安全生产专项整治三年行动，坚决遏制重特大事故发生。|||Pour réduire la survenue d’accidents du travail graves, nous allons améliorer et appliquer le système de responsabilité en matière de sécurité au travail et poursuivre en profondeur le plan d’action triennal en la matière.
完善社会治安防控体系，常态化开展扫黑除恶斗争，防范打击各类犯罪，维护社会稳定和安全。|||En outre, nous allons parachever le système de prévention et de contrôle visant au maintien de l’ordre public, mener une lutte permanente contre les bandes mafieuses, sévir contre les activités criminelles, afin de maintenir la stabilité et la sécurité dans la société.
各位代表：|||Mesdames et Messieurs les députés,
