政府工作报告|||Rapport d'activité du gouvernement
实施境外投资者境内利润再投资递延纳税。|||Le paiement différé de l'impôt sera appliqué aux investisseurs étrangers qui réinvestissent à l'intérieur du pays leurs bénéfices réalisés en Chine.
简化外资企业设立程序，商务备案与工商登记“一口办理”。|||Nous simplifierons les procédures d'établissement des entreprises à capitaux étrangers, et réaliserons le "guichet unique" pour l'enregistrement des affaires commerciales et l'immatriculation auprès de l'Administration industrielle et commerciale.
全面复制推广自贸试验区经验，探索建设自由贸易港，打造改革开放新高地。|||Nous généraliserons l'expérience des zones pilotes de libre-échange, et établirons à titre d'essai des ports de libre-échange, pour que la réforme et l'ouverture atteignent de nouvelles hauteurs.
巩固外贸稳中向好势头。|||Renforcer la stabilité marquée par une tendance à la reprise dans notre commerce extérieur.
扩大出口信用保险覆盖面，整体通关时间再压缩三分之一。|||Il faut étendre la couverture de l'assurance-crédit à l'exportation, et diminuer encore d'un tiers la durée de dédouanement total.
改革服务贸易发展机制。|||Le système de promotion du commerce des services sera réformé.
培育贸易新业态新模式。|||De nouvelles activités et de nouveaux modes de commerce seront créés.
推动加工贸易向中西部梯度转移。|||Le commerce de sous-traitance sera délocalisé progressivement vers les régions du Centre et de l'Ouest.
积极扩大进口，办好首届中国国际进口博览会，下调汽车、部分日用消费品等进口关税。|||Nous accroîtrons énergiquement l'importation, organiserons convenablement la première Exposition internationale d'importation de la Chine, et baisserons les droits de douane à l'importation de véhicules et de certains produits courants.
我们要以更大力度的市场开放，促进产业升级和贸易平衡发展，为消费者提供更多选择。|||Bénéficiant d'un marché plus ouvert, nous allons favoriser la montée en gamme des industries et le développement équilibré du commerce, de manière à offrir davantage de choix aux consommateurs chinois.
促进贸易和投资自由化便利化。|||Promouvoir la facilitation et la libéralisation du commerce et de l'investissement.
中国坚定不移推进经济全球化，维护自由贸易，愿同有关方推动多边贸易谈判进程，早日结束区域全面经济伙伴关系协定谈判，加快亚太自贸区和东亚经济共同体建设。|||La Chine favorisera avec détermination la mondialisation économique et préservera le libre-échange. Notre souhait est que par la collaboration de toutes les parties intéressées, les négociations du commerce multilatéral progressent, que les négociations en vue de la conclusion de l'Accord de partenariat économique régional général rencontrent au plus tôt une heureuse issue, et que s'accélère la mise en place de la zone de libre-échange Asie-Pacifique et de la Communauté économique de l'Asie de l'Est.
中国主张通过平等协商解决贸易争端，反对贸易保护主义，坚决捍卫自身合法权益。|||Nous préconisons le règlement des différends commerciaux à travers les négociations sur un pied d'égalité, luttons contre le protectionnisme, et défendons résolument nos droits et intérêts légitimes.
（九）提高保障和改善民生水平。|||Garantir et améliorer davantage le bien-être de la population.
要在发展基础上多办利民实事、多解民生难事，兜牢民生底线，不断提升人民群众的获得感、幸福感、安全感。|||Nous devons, en maintenant le développement, faire du travail solide pour le bien-être de tous les Chinois en nous attachant à résoudre les problèmes qui les préoccupent et en garantissant fermement leurs moyens d'existence, afin d'augmenter constamment leur sentiment de satisfaction, de bonheur et de sécurité.
着力促进就业创业。|||Encourager l'emploi et l'entrepreneuriat.
加强全方位公共就业服务，大规模开展职业技能培训，运用“互联网+”发展新就业形态。|||Nous renforcerons les services publics tous azimuts en faveur de l'emploi, organiserons des stages de formation professionnelle à grande échelle, et développerons les nouveaux modes d'emploi à l'aide de l'"Internet+".
今年高校毕业生820多万人，再创历史新高，要促进多渠道就业，支持以创业带动就业。|||Comme le nombre des nouveaux diplômés universitaires atteindra plus de 8,2 millions en 2018, un nouveau record, il faudra multiplier les emplois par différents canaux et faire jouer le rôle d'entraînement de l'entrepreneuriat.
扎实做好退役军人安置、管理和保障工作。|||Nous mènerons à bien la réinsertion et l'administration des militaires démobilisés, et leur accorderons des aides sociales.
加大对残疾人等就业困难人员援助力度。|||Il sera accordé une assistance plus grande à l'emploi des personnes handicapées et des autres groupes embarrassés de trouver un travail.
扩大农民工就业，全面治理拖欠工资问题。|||Nous élargirons l'emploi des travailleurs migrants, et réglerons les retards de paiement de leurs salaires dans tous les secteurs.
要健全劳动关系协商机制，消除性别和身份歧视，使更加公平、更加充分的就业成为我国发展的突出亮点。|||Les mécanismes de concertation dans les relations de travail seront améliorés, les discriminations sur la base du sexe ou de la position sociale seront éliminées, de manière à ce que l'accessibilité et l'abondance de l'emploi deviennent des points forts du développement de la Chine.
稳步提高居民收入水平。|||Élever régulièrement les revenus des habitants.
继续提高退休人员基本养老金和城乡居民基础养老金。|||Les pensions de vieillesse de base des retraités et la pension de vieillesse des habitants des villes et des campagnes continueront à augmenter.
合理调整社会最低工资标准。|||Le salaire minimum sera réajusté de manière adéquate.
完善机关事业单位工资和津补贴制度，向艰苦地区、特殊岗位倾斜。|||Nous perfectionnerons le système de salaire et de subvention du personnel des organismes d'État et des institutions publiques en privilégiant les régions démunies et les occupations spéciales.
提高个人所得税起征点，增加子女教育、大病医疗等专项费用扣除，合理减负，鼓励人民群众通过劳动增加收入、迈向富裕。|||Nous élèverons l'abattement à la base de l'impôt sur le revenu des personnes physiques en prenant en compte les dépenses d'éducation et les dépenses faites pour traiter des maladies graves, de manière à favoriser la réduction appropriée des charges et à encourager les Chinois à s'enrichir en travaillant davantage.
发展公平而有质量的教育。|||Développer une éducation équitable et de qualité.
推动城乡义务教育一体化发展，教育投入继续向困难地区和薄弱环节倾斜。|||Nous favoriserons un développement intégré de l'éducation obligatoire dans les villes et les campagnes, et continuerons à orienter les investissements vers les régions en difficulté et les maillons faibles.
切实降低农村学生辍学率，抓紧消除城镇“大班额”，着力解决中小学生课外负担重问题。|||Nous réduirons le taux de déscolarisation dans les régions rurales, tout en nous efforçant d'éliminer au plus vite le problème des "classes surpeuplées" dans les écoles des villes. Un effort particulier sera fait pour alléger le fardeau extrascolaire des élèves du primaire et du secondaire.
儿童是民族的未来、家庭的希望。|||Il faut reconnaître que les enfants sont non seulement l'espoir de leur famille, mais aussi l'avenir de la nation.
要多渠道增加学前教育资源供给，重视对幼儿教师的关心和培养，运用互联网等信息化手段对儿童托育中育儿过程加强监管，一定要让家长放心安心。|||Nous multiplierons par divers moyens l'offre de ressources d'enseignement préscolaire, accorderons de l'importance à la formation des instituteurs des écoles maternelles en leur témoignant une grande sollicitude, et, en recourant à l'Internet et à d'autres outils informatiques, renforcerons les contrôles sur la garde des enfants de moins de trois ans sous tutelle, de manière à ôter tout souci à leurs parents.
大力发展职业教育，支持和规范社会力量举办职业教育。|||Nous développerons activement l'enseignement professionnel, et encouragerons les divers acteurs de la société à créer des écoles de ce type, tout en veillant à réglementer leur fonctionnement.
推进普及高中阶段教育。|||La généralisation du deuxième cycle de l'enseignement secondaire sera poursuivie.
以经济社会发展需要为导向，优化高等教育结构，加快“双一流”建设，支持中西部建设有特色、高水平大学。|||Pour satisfaire les besoins du développement socioéconomique, nous optimiserons la structure de l'enseignement supérieur, accélérerons l'émergence d'universités et de disciplines de niveau international, et encouragerons le Centre et l'Ouest à rendre leur enseignement supérieur plus original et plus performant.
继续实施农村和贫困地区专项招生计划。|||Nous continuerons les projets spéciaux de recrutement d'élèves issus des régions rurales et des régions pauvres.
发展民族教育、特殊教育、继续教育和网络教育。|||Nous développerons l'enseignement en faveur des ethnies minoritaires, l'éducation spécialisée, la formation continue et la formation en ligne.
加强师资队伍和师德师风建设。|||Il faut renforcer la formation du corps enseignant, le sensibiliser à la déontologie et lui inculquer les vertus pédagogiques.
要加快推进教育现代化，办好人民满意的教育，让每个人都有平等机会通过教育改变自身命运、成就人生梦想。|||Bref, nous accélérerons la modernisation de l'éducation, et veillerons à ce que le peuple soit satisfait de la qualité de l'éducation, et que chacun puisse avoir un accès égal à une instruction par laquelle il pourra changer son destin et réaliser ses rêves.
实施健康中国战略。|||Mettre en œuvre la stratégie "Chine saine".
提高基本医保和大病保险保障水平，居民基本医保人均财政补助标准再增加40元，一半用于大病保险。|||Nous ferons en sorte que l'assurance maladie de base et l'assurance contre les maladies graves protègent mieux les Chinois. L'allocation individuelle accordée aux personnes qui ont souscrit à l'assurance maladie de base augmentera de 40 yuans, somme dont la moitié sera consacrée à l'assurance contre les maladies graves.
扩大跨省异地就医直接结算范围，把基层医院和外出农民工、外来就业创业人员等全部纳入。|||Le système de remboursement sur place des frais médicaux quelle que soit la province d'origine de l'assuré sera élargi, en y incorporant les hôpitaux de base, ainsi que les travailleurs et entrepreneurs migrants.
加大医护人员培养力度，加强全科医生、儿科医生队伍建设，推进分级诊疗和家庭医生签约服务。|||La formation du personnel soignant sera améliorée, le corps des médecins pluridisciplinaires et des pédiatres sera renforcé, et le système de traitement échelonné selon la gravité des maladies et celui de contrat de médecin de famille seront généralisés.
继续提高基本公共卫生服务经费人均财政补助标准。|||La subvention de l'État aux services de santé publique de base par personne continuera à augmenter.
坚持预防为主，加强重大疾病防控。|||Nous renforcerons la prévention et le contrôle des maladies graves en mettant l'accent sur la prévention.
改善妇幼保健服务。|||Les services de santé en faveur des mères et des enfants seront améliorés.
支持中医药事业传承创新发展。|||La préservation, l'innovation et le développement de la médecine et de la pharmacopée traditionnelles chinoises recevront tout le soutien nécessaire.
鼓励中西医结合。|||Nous encouragerons la combinaison de la médecine chinoise et occidentale.
创新食品药品监管方式，注重用互联网、大数据等提升监管效能，加快实现全程留痕、信息可追溯，让问题产品无处藏身、不法制售者难逃法网，让消费者买得放心、吃得安全。|||De nouveaux modes de contrôle des produits alimentaires et pharmaceutiques seront introduits, et nous aurons recours à divers moyens, dont l'Internet et les mégadonnées, pour augmenter l'efficacité des contrôles et réaliser au plus vite une traçabilité et une récupération totale des informations. Il faut traquer sans merci les mauvais produits et leurs fabricants, de sorte que le consommateur puisse faire ses achats en toute confiance et manger sans craindre pour sa santé.
做好北京冬奥会、冬残奥会筹办工作，多渠道增加全民健身场所和设施。|||Nous mènerons à bien les préparatifs des jeux Olympiques et Paralympiques d'hiver de Beijing, et augmenterons par divers moyens le nombre de locaux et d'équipements pour la pratique des sports de masse.
人民群众身心健康、向善向上，国家必将生机勃勃、走向繁荣富强。|||Une population en bonne santé, moralement saine et animée par le désir de la perfection est la garantie de la vitalité et de la prospérité de l'État.
更好解决群众住房问题。|||Mieux résoudre la question du logement.
启动新的三年棚改攻坚计划，今年开工580万套。|||Un nouveau programme triennal de reconstruction des quartiers vétustes sera mis en œuvre, et quelque 5,8 millions de nouvelles habitations seront mises en chantier.
加大公租房保障力度，对低收入住房困难家庭要应保尽保，将符合条件的新就业无房职工、外来务工人员纳入保障范围。|||Nous fournirons davantage de logements locatifs publics : les principaux bénéficiaires seront les ménages à faibles revenus qui n'ont pas de logement décent, suivis, pourvu qu'ils remplissent certaines conditions, des travailleurs migrants et des jeunes gens occupant leur premier emploi qui sont en quête d'un logement.
坚持房子是用来住的、不是用来炒的定位，落实地方主体责任，继续实行差别化调控，建立健全长效机制，促进房地产市场平稳健康发展。|||Conformément au principe dit "le logement, c'est pour habiter, pas pour spéculer", nous appliquerons le système de responsabilité première des administrations locales et continuerons à mettre en œuvre des mesures de régulation adaptées à chaque situation, et établirons des mécanismes permanents pour favoriser le développement sain et régulier du marché immobilier.
支持居民自住购房需求，培育住房租赁市场，发展共有产权住房。|||Nous encouragerons l'achat de logements à usage personnel, développerons le marché des logements locatifs, et soutiendrons la copropriété.
加快建立多主体供给、多渠道保障、租购并举的住房制度，让广大人民群众早日实现安居宜居。|||La mise en place d'un système de logement caractérisé par la diversification de l'offre, la multiplication des garanties et une importance égale accordée à l'achat et à la location sera accélérée. Bref, nous allons faire en sorte que tous les Chinois possèdent le plus tôt possible un logement agréable et commode.
强化民生兜底保障。|||Renforcer la garantie des moyens d'existence de la population.
稳步提高城乡低保、社会救助、抚恤优待等标准。|||Nous augmenterons régulièrement le niveau du minimum vital dans les villes et les campagnes, les allocations de l'assistance sociale, et les indemnités et subventions accordées aux militaires invalides, aux familles de militaires morts en service commandé et à d'autres catégories d'agents de l'État, ainsi que leurs familles.
积极应对人口老龄化，发展居家、社区和互助式养老，推进医养结合，提高养老院服务质量。|||Nous ferons face activement au vieillissement de la population, développerons, pour les personnes âgées, les soins de proximité ou à domicile, ainsi que l'assistance mutuelle. L'association des services médicaux et des services au troisième âge sera poursuivie, et la qualité des services des maisons de retraite sera élevée.
关心帮助农村留守儿童。加强城乡困境儿童保障。|||Nous aiderons les enfants dont les parents sont partis travailler à la ville et renforcerons l'aide aux enfants en difficulté en ville comme à la campagne.
做好伤残军人和军烈属优抚工作。|||Le travail concernant les militaires invalides, ainsi que les familles des militaires et des martyrs révolutionnaires, sera mené à bien.
加强残疾人康复服务。|||Les services de rééducation des handicapés seront améliorés.
健全社会救助体系，支持公益慈善事业发展。|||On renforcera l'assistance sociale, et soutiendra le développement des œuvres d'intérêt public et de bienfaisance.
倾情倾力做好托底工作，不因事难而推诿，不因善小而不为，要让每一个身处困境者都能得到社会的关爱和温暖。|||Donner à chacun les moyens de mener une vie convenable est une entreprise à laquelle il faut travailler corps et âme, quelles que soient les difficultés de l'entreprise, et sans dédaigner de faire de petites choses. Notre but est de faire en sorte que toute personne en difficulté puisse bénéficier de la sollicitude et de l'affection générales.
打造共建共治共享社会治理格局。|||Mettre en place une architecture de la gouvernance sociale dite "concertation, synergie et partage".
完善基层群众自治制度，加强社区治理。|||Il faut perfectionner le système d'autogestion populaire aux échelons de base, tout en renforçant la gestion au niveau des quartiers d'habitation.
发挥好工会、共青团、妇联等群团组织作用。|||Nous mettrons en valeur le rôle des organisations et groupements de masse tels que la Fédération nationale des syndicats, la Ligue de la jeunesse communiste et la Fédération des femmes.
促进社会组织、专业社会工作、志愿服务健康发展。|||Nous promouvrons les activités des organisations sociales, le travail social spécialisé et le bénévolat, et ferons en sorte qu'ils se développent sainement.
加强社会信用体系建设。|||Le système de crédit social sera amélioré.
完善公共法律服务体系，落实普法责任制。|||Les services juridiques publics seront perfectionnés, et la responsabilité dans la vulgarisation des lois sera matérialisée.
营造尊重妇女、关爱儿童、尊敬老人、爱护残疾人的良好风尚。|||Nous créerons dans toute la société un climat qui favorise le respect des femmes et des personnes âgées, ainsi que les soins aux enfants et aux handicapés.
完善社会矛盾纠纷多元化解机制。|||Les mécanismes de règlement à multiples niveaux des contradictions et des litiges dans la société seront améliorés.
创新信访工作方式，依法及时解决群众合理诉求。|||De nouvelles procédures de traitement des doléances populaires orales ou écrites seront mises en place, et les revendications populaires légitimes devront être satisfaites à temps et conformément aux règlements en vigueur.
严格落实安全生产责任，坚决遏制重特大事故。|||Tout en insistant avec la plus grande rigueur sur la responsabilité en matière de sécurité du travail, nous ferons tout pour éviter les accidents du travail particulièrement graves.
做好地震、气象、地质等工作，提高防灾减灾救灾能力。|||Nous améliorerons le dispositif de météorologie, de géologie et de surveillance des mouvements sismiques, élèverons la capacité de prévention et de réduction des calamités naturelles, et viendrons mieux en aide aux sinistrés.
推进平安中国建设，严密防范和坚决打击暴力恐怖活动，依法开展扫黑除恶专项斗争，惩治盗抢骗黄赌毒等违法犯罪活动，整治电信网络诈骗、侵犯公民个人信息、网络传销等突出问题，维护国家安全和公共安全。|||En promouvant l'édification d'une Chine sûre, des mesures énergiques seront prises pour prévenir les actes terroristes violents et sévir résolument contre leurs auteurs. Des opérations spéciales contre le crime organisé seront lancées en vertu de la loi, et nous sévirons contre les délits et les crimes comme le vol, l'attaque à main armée, l'escroquerie, la pornographie, le jeu et la drogue. Les escroqueries commises au moyen des télécommunications et sur la Toile seront combattues, de même que les atteintes au secret des informations privées, la vente pyramidale sur l'Internet et d'autres problèmes saillants. Tout cela devrait nous permettre de défendre la sécurité publique et nationale.
为人民过上美好生活提供丰富精神食粮。|||Fournir aux Chinois une nourriture spirituelle plus riche pour que ceux-ci puissent jouir d'une vie meilleure.
要弘扬中华优秀传统文化，继承革命文化，发展社会主义先进文化，培育和践行社会主义核心价值观。|||On mettra à l'honneur les fleurons de la culture traditionnelle chinoise, poursuivra les traditions de la culture révolutionnaire, développera une culture socialiste à caractère avancé, tout en cultivant et pratiquant les valeurs essentielles du socialisme.
加强思想道德建设和群众性精神文明创建。|||Il faut renforcer l'édification morale et idéologique, ainsi que la valorisation de la civilisation spirituelle.
加快构建中国特色哲学社会科学，繁荣文艺创作，发展新闻出版、广播影视、档案等事业。|||Le développement d'une philosophie et de sciences sociales adaptées à la réalité de la Chine sera accéléré. On favorisera la prospérité de la création littéraire et artistique, et continuera à développer la presse, l'édition, la radiodiffusion, le cinéma, la télévision et l'archivistique.
加强文物保护利用和文化遗产保护传承。|||On renforcera la protection, la mise en valeur et la transmission du patrimoine culturel matériel et immatériel.
建好新型智库。|||La construction de laboratoires d'idées de type nouveau sera menée à bien.
加强互联网内容建设。|||On travaillera également à enrichir et assainir les sites Internet.
深入实施文化惠民工程，培育新型文化业态，加快文化产业发展。|||Les projets culturels pour le bénéfice de tous seront appliqués en profondeur, de nouvelles activités culturelles seront développées, et le développement de l'industrie culturelle sera accéléré.
倡导全民阅读，建设学习型社会。|||On encouragera la lecture dans toutes les couches de la population et édifiera une société de l'étude permanente.
深化中外人文交流，增强中华文化影响力。|||On approfondira les échanges culturels avec les pays étrangers et augmentera l'influence de la culture chinoise.
我们要以中国特色社会主义文化的繁荣兴盛，凝聚起实现民族复兴的磅礴精神力量。|||Bref, grâce à la culture prospère et brillante du socialisme à la chinoise, on rassemblera les immenses forces spirituelles nécessaires à la réalisation du renouveau national.
各位代表：|||Camarades députés,
进入新时代，政府工作在新的一年要有新气象新作为。|||Comme nous sommes entrés dans une nouvelle ère, c'est dans une atmosphère nouvelle que le gouvernement devra mener son travail et accomplir de nouveaux exploits durant cette nouvelle année.
要牢固树立“四个意识”，坚定“四个自信”，坚决维护习近平总书记核心地位，坚决维护党中央权威和集中统一领导，落实全面从严治党要求，加强政府自身建设，深入推进政府职能转变，全面提升履职水平，为人民提供优质高效服务。|||Il faudra affirmer fermement les "quatre consciences", et la "quadruple confiance en soi" [confiance dans notre voie, notre théorie, notre régime et notre culture], défendre résolument la position centrale du secrétaire général Xi Jinping, préserver indéfectiblement l'autorité et la direction centralisée et unifiée du Comité central du Parti, et remplir les exigences de l'application intégrale d'une discipline rigoureuse au sein du Parti. L'auto-édification du gouvernement devra être améliorée, la reconversion des attributions administratives, poursuivie en profondeur, et le niveau de l'exercice des fonctions, élevé sur tous les plans, de manière à ce que le peuple soit toujours bien servi.
全面推进依宪施政、依法行政。|||Promouvoir sur tous les plans le respect de la Constitution dans l'exercice du pouvoir politique et la conformité à la loi dans la conduite des affaires administratives.
严格遵守宪法法律，加快建设法治政府，把政府活动全面纳入法治轨道。|||Il faudra observer scrupuleusement la Constitution et les lois, et accélérer la mise en place d'un gouvernement respectueux du droit, afin que toute l'activité gouvernementale soit respectueuse de la loi.
坚持严格规范公正文明执法，有权不可任性，用权必受监督。|||Nous veillerons à ce que la loi soit appliquée de façon stricte, uniforme, équitable et policée. Le pouvoir ne doit être exercé que de manière raisonnable et sous une supervision.
各级政府要依法接受同级人大及其常委会的监督，自觉接受人民政协的民主监督，主动接受社会和舆论监督，认真听取人大代表、政协委员意见，听取民主党派、工商联、无党派人士和各人民团体意见。|||Les gouvernements à tous les échelons devront se soumettre, en vertu de la loi, à la surveillance de l'assemblée populaire du même niveau et de son comité permanent, et se placer d'eux-mêmes sous la supervision démocratique exercée par la CCPPC, ainsi que sous celle de l'opinion publique et des différents milieux de la société. Ils devront également écouter attentivement les avis donnés par les députés des assemblées populaires et les membres de la CCPPC, et tenir compte des remarques faites par les partis démocratiques, la fédération industrielle et commerciale, les personnalités sans parti et les organisations populaires.
政府要信守承诺，决不能“新官不理旧账”。|||Les administrations sont tenues d'honorer leurs engagements. Il est absolument inadmissible que de nouveaux fonctionnaires renient les engagements pris par leurs prédécesseurs.
全面推进政务公开。推行政府法律顾问制度。|||Il faudra faire progresser intégralement la transparence des activités administratives, appliquer le système des conseillers juridiques, et suivre une procédure scientifique, démocratique et légale dans la prise de décisions.
坚持科学、民主、依法决策，凡涉及公众利益的重大事项，都要深入听取各方意见包括批评意见。|||Nous devons écouter attentivement les avis, y compris les avis critiques, de tous les intéressés chaque fois qu'il s'agit d'affaires importantes qui touchent à l'intérêt général.
人民政府的所有工作都要体现人民意愿，干得好不好要看实际效果、最终由人民来评判。|||Tous les efforts de notre gouvernement populaire doivent tendre à représenter la volonté du peuple. Les résultats concrets constituent la base de l'évaluation de notre travail, et le peuple doit toujours avoir le dernier mot sur celui-ci.
全面加强党风廉政建设。|||Améliorer sur toute la ligne le style de travail du Parti et faire régner l'intégrité dans ses rangs.
推进“两学一做”学习教育常态化制度化，认真开展“不忘初心、牢记使命”主题教育。|||Nous devons nous efforcer de régulariser et d'institutionnaliser l'éducation dite "deux études et une ligne d'action" et lancer avec enthousiasme la campagne ayant pour thème "Rester fidèle à l'engagement initial et garder toujours à l'esprit la mission".
坚决贯彻落实党中央八项规定及实施细则精神，驰而不息整治“四风”，特别是力戒形式主义、官僚主义。|||L'esprit des "huit recommandations" et de leurs modalités d'application élaborées par le Comité central du Parti sera rigoureusement observé, et la lutte contre les "quatre vices" sera poursuivie inlassablement, en particulier la lutte contre le formalisme et la bureaucratie.
加强审计监督。|||La surveillance des audits sera renforcée.
巩固发展反腐败斗争压倒性态势，把权力关进制度的笼子，坚决惩治各类腐败行为。|||Nous œuvrerons à maintenir et à renforcer l'effet dissuasif et répressif de la lutte anticorruption, à enfermer les pouvoirs dans la "cage" institutionnelle, ainsi qu'à punir sévèrement les éléments corrompus.
政府工作人员要廉洁修身，勤勉尽责，自觉接受法律监督、监察监督和人民的监督，干干净净为人民做事，决不辜负人民公仆的称号。|||Les agents de l'État doivent demeurer droits, intègres, diligents et responsables, se soumettre volontairement au contrôle des lois, à l'inspection et à la surveillance du peuple, travailler en toute honnêteté dans l'intérêt du peuple, servir celui-ci avec dévouement et se montrer à la hauteur de leur vocation de serviteurs du peuple.
全面提高政府效能。|||Accroître sur tous les plans l'efficacité du gouvernement.
优化政府机构设置和职能配置，深化机构改革，形成职责明确、依法行政的政府治理体系，增强政府公信力和执行力。|||Il faut approfondir la réforme des institutions, optimiser leur structure et améliorer la répartition de leurs fonctions, créer une gouvernance publique où les attributions et les responsabilités sont bien définies et la loi est rigoureusement respectée. Nous renforcerons la capacité d'action effective du gouvernement et sa crédibilité.
中国改革发展的一切成就，都是干出来的。|||N'oublions pas que c'est par l'effort et le travail que tous les succès de la réforme et du développement ont été obtenus.
对各级政府及其工作人员来说，为人民干事是天职、不干是失职。|||Pour les autorités à tous les niveaux et pour leurs employés, servir le peuple est leur vocation et leur mission sacrées ; y faillir, c'est trahir cette vocation et cette mission.
要完善激励约束、容错纠错机制，旗帜鲜明给积极干事者撑腰鼓劲，对庸政懒政者严肃问责。|||Les mécanismes de motivation et de contrainte, ainsi que ceux de tolérance et de rectification des erreurs, devront être perfectionnés, afin de soutenir et d'encourager d'une manière claire et sans équivoque les agents de l'État qui font preuve d'initiative et de dynamisme, et de sanctionner sévèrement les médiocres et les paresseux.
决不能表态多调门高、行动少落实差，决不允许占着位子不干事。|||Il faut en finir avec le zèle en paroles, ces beaux discours qui ne sont pas suivis de résultats ; personne ne doit rester les bras croisés à son poste.
广大干部要提高政治素质和工作本领，求真务实，干字当头，干出实打实的新业绩，干出群众的好口碑，干出千帆竞发、百舸争流的生动局面。|||Les bons cadres s'efforcent d'améliorer leurs qualités politiques et leurs compétences professionnelles ; leur esprit poursuit la vérité et s'attache à la réalité et à l'action ; ils sont capables de produire de nouveaux résultats, des réalisations concrètes ; ils savent se gagner l'estime du peuple et exciter autour d'eux une saine et brillante émulation.
各位代表：|||Camarades députés,
中华民族是一个和睦相处、团结温暖的大家庭。|||La nation chinoise est une grande famille qui vit dans la concorde et la solidarité.
我们要坚持和完善民族区域自治制度，全面贯彻党的民族政策。|||Nous préserverons, tout en le perfectionnant, le système d'autonomie des régions peuplées de minorités ethniques, et appliquerons la politique ethnique du Parti dans son intégralité.
继续加强对民族地区、人口较少民族发展的支持。|||Nous continuerons à aider à se développer les régions où sont concentrées les ethnies minoritaires, ainsi que les ethnies peu nombreuses.
组织好广西壮族自治区、宁夏回族自治区成立60周年庆祝活动。|||Nous mènerons à bien l'organisation de la célébration du 60e anniversaire de la fondation des régions autonomes zhuang du Guangxi et hui du Ningxia.
加强各民族交往交流交融，让中华民族共同体的根基更加坚实、纽带更加牢固。|||Nous renforcerons les échanges entre les différentes ethnies chinoises pour consolider les fondements de la grande communauté nationale chinoise et fortifier les liens entre tous ses membres.
我们要全面贯彻党的宗教工作基本方针，坚持我国宗教的中国化方向，促进宗教关系健康和谐，发挥宗教界人士和信教群众在促进经济社会发展中的积极作用。|||Nous appliquerons sur toute la ligne la politique religieuse fondamentale du Parti, veillerons à ce que les religions se conforment mieux à la réalité chinoise, promouvrons des relations interconfessionnelles saines et harmonieuses, et ferons jouer pleinement leur rôle positif aux personnalités religieuses et aux croyants dans la promotion du développement économique et du progrès social.
我们要认真落实侨务政策，维护海外侨胞和归侨侨眷合法权益，为他们在国家现代化建设中发挥独特优势和重要作用创造更好条件，激励海内外中华儿女同心奋斗、共创辉煌。|||Nous appliquerons consciencieusement la politique à l'égard des ressortissants chinois, et protégerons les droits et intérêts légitimes des Chinois résidant à l'étranger, des Chinois d'outre-mer revenus dans la patrie et de leurs familles, en créant un climat favorable à la valorisation de leurs avantages spécifiques et de leur rôle important dans la modernisation socialiste. Nous encourageons les Chinois, qu'ils résident en Chine ou à l'étranger, à lutter d'un même cœur pour réaliser ensemble de brillants exploits.
各位代表：|||Camarades députés,
面对国家安全环境的深刻变化，我们要以党在新时代的强军目标为引领，牢固确立习近平强军思想在国防和军队建设中的指导地位，坚定不移走中国特色强军之路，全面推进练兵备战工作，坚决有力维护国家主权、安全、发展利益。|||Étant donné les profondes mutations des conditions de sécurité du pays, nous devons poursuivre l'objectif du Parti concernant la montée en puissance de l'armée dans la nouvelle ère, confirmer résolument le rôle directeur de la pensée de Xi Jinping sur la montée en puissance de l'armée dans l'édification de la défense nationale et des forces armées, suivre inébranlablement le modèle chinois de renforcement de l'armée, et faire progresser sur toute la ligne l'entraînement et les préparatifs de combat, de manière à sauvegarder résolument et efficacement la souveraineté et la sécurité nationales, ainsi que nos intérêts en matière de développement.
坚持党对军队绝对领导的根本原则和制度，全面深入贯彻军委主席负责制。|||Il faudra maintenir le principe fondamental et le système selon lesquels le Parti exerce une direction absolue sur l'armée, et appliquer de manière globale et approfondie le système de la pleine responsabilité du président de la Commission militaire centrale.
继续推进国防和军队改革，建设强大稳固的现代边海空防。|||Nous continuerons à promouvoir la réforme de la défense nationale et de l'armée pour développer une défense frontalière, maritime et aérienne puissante, solide et moderne.
完善国防动员体系，加强全民国防教育。|||Nous améliorerons le système de mobilisation et renforcerons la sensibilisation de la population à la défense nationale.
维护军人军属合法权益，让军人成为全社会尊崇的职业。|||Nous défendrons les droits et intérêts légitimes des militaires et de leurs familles, et ferons en sorte que la carrière militaire soit honorée par toute la société.
深入实施军民融合发展战略，深化国防科技工业改革。|||La stratégie d'intégration militaro-civile sera mise en œuvre en profondeur, et la réforme des industries relevant des sciences et techniques de la défense nationale sera approfondie.
各级政府要采取更有力的举措，支持国防和军队建设改革，深入开展拥军优属、拥政爱民活动，使军政军民团结始终坚如磐石、始终根深叶茂。|||À tous les échelons, les autorités devront prendre des mesures plus fortes pour soutenir l'édification et la réforme de la défense nationale et de l'armée, inviter la population à soutenir l'armée et à aider les familles des militaires, et l'armée à soutenir le gouvernement et à s'attacher au peuple, afin que l'unité entre l'armée et le gouvernement, ainsi que la solidarité entre l'armée et le peuple se consolident et s'approfondissent chaque jour davantage.
各位代表：|||Camarades députés,
我们要继续全面准确贯彻“一国两制”方针，严格依照宪法和基本法办事。|||Nous continuerons à appliquer intégralement et avec précision le principe dit "un pays, deux systèmes", et à agir conformément à la Constitution et aux lois fondamentales qui régissent Hong Kong et Macao.
