政府工作报告|||RAPPORT D'ACTIVITÉ DU GOUVERNEMENT
促进外贸稳中提质。|||Favoriser la stabilisation de notre commerce extérieur en améliorant sa qualité.
推动出口市场多元化。|||Un nouvel élan sera donné à la diversification des marchés d'exportation.
扩大出口信用保险覆盖面。|||La couverture de l'assurance-crédit à l'exportation sera étendue.
改革完善跨境电商等新业态扶持政策。|||Les politiques de soutien aux nouvelles formes d'activités telles que le commerce électronique transfrontalier seront mises au point.
推动服务贸易创新发展，引导加工贸易转型升级、向中西部转移，发挥好综合保税区作用。|||Il convient d'impulser le développement innovant du commerce des services ; de favoriser la reconversion et la montée en gamme du commerce de sous-traitance ainsi que la délocalisation de celui-ci dans les régions du Centre et de l'Ouest ; et de tirer le meilleur parti des zones franches intégrées.
优化进口结构，积极扩大进口。|||En ce qui concerne les importations, il faut optimiser leur structure et augmenter leur volume.
办好第二届中国国际进口博览会。|||De grands efforts seront consentis pour bien organiser la deuxième édition de l'Exposition internationale d'importation de la Chine.
加快提升通关便利化水平。|||Il est nécessaire de rendre plus rapide et commode le dédouanement dans l'import-export.
加大吸引外资力度。|||Renforcer les mesures propres à attirer les capitaux étrangers.
进一步放宽市场准入，缩减外资准入负面清单，允许更多领域实行外资独资经营。|||Nous continuerons à élargir l'accès des capitaux étrangers au marché chinois en réduisant la liste négative, et étendrons l'exploitation à capitaux exclusivement étrangers à plus de domaines.
落实金融等行业改革开放举措，完善债券市场开放政策。|||Nous appliquerons les mesures visant à promouvoir la réforme et l'ouverture de la finance et d'autres secteurs, et perfectionnerons la politique d'ouverture du marché obligataire.
加快与国际通行经贸规则对接，提高政策透明度和执行一致性，营造内外资企业一视同仁、公平竞争的公正市场环境。|||En nous rapprochant plus rapidement des règles économiques et commerciales internationales, et en améliorant la transparence et la cohérence de nos diverses politiques, nous chercherons à créer un environnement de marché sain où un traitement équitable et une concurrence loyale soient garantis à toutes les entreprises, qu'elles soient chinoises ou étrangères.
加强外商合法权益保护。|||Il faut intensifier la protection des droits et intérêts légitimes des investisseurs étrangers.
赋予自贸试验区更大改革创新自主权，增设上海自贸试验区新片区，推进海南自贸试验区建设、探索建设中国特色自由贸易港。|||Les zones pilotes de libre-échange auront une plus grande autonomie en matière de réforme et d'innovation ; la zone pilote de libre-échange de Shanghai se verra adjoindre un nouveau quartier ; et Hainan accélérera la construction de sa zone pilote de libre-échange et établira un port de libre-échange aux caractéristiques chinoises.
支持国家级经开区、高新区、新区开展自贸试验区相关改革试点，增强辐射带动作用，打造改革开放新高地。|||Sur le plan national, les zones de développement économique et technique, les zones de développement de hautes et nouvelles technologies et les nouvelles zones seront encouragées à mener des réformes expérimentales concernant les zones pilotes de libre-échange, ce qui permettra d'intensifier leur rayonnement et leur effet d'entraînement, et de former des fleurons de la réforme et de l'ouverture.
中国投资环境一定会越来越好，各国企业在华发展机遇一定会越来越多。|||C'est pourquoi il ne fait aucun doute que grâce à toutes ces mesures, l'environnement d'investissement ne cessera de s'améliorer, offrant aux entreprises étrangères un nombre accru d'opportunités de développement.
推动共建“一带一路”。|||Promouvoir la réalisation commune du projet « la Ceinture et la Route ».
坚持共商共建共享，遵循市场原则和国际通行规则，发挥企业主体作用，推动基础设施互联互通，加强国际产能合作，拓展第三方市场合作。|||En restant fidèles au principe de « concertation, synergie et partage », en nous conformant aux lois du marché et aux usages internationaux, et en donnant libre cours à l'initiative de nos entreprises, nous travaillerons à favoriser l'interconnexion des réseaux d'infrastructures, à renforcer la coopération internationale en matière de capacités de production, et à élargir la coopération en marchés tiers.
办好第二届“一带一路”国际合作高峰论坛。推动对外投资合作健康有序发展。|||Nous devons bien organiser le deuxième Forum « la Ceinture et la Route » pour la coopération internationale et veiller à ce que nos projets d'investissement et de coopération à l'étranger se développent de manière saine et ordonnée.
促进贸易和投资自由化便利化。|||Promouvoir la facilitation et la libéralisation du commerce et de l'investissement.
中国坚定维护经济全球化和自由贸易，积极参与世贸组织改革。|||La Chine préservera fermement la mondialisation économique et le libre-échange, et prendra une part active à la réforme de l'OMC.
加快构建高标准自贸区网络，推进区域全面经济伙伴关系协定、中日韩自贸区、中欧投资协定谈判，继续推动中美经贸磋商。|||Nous accélérerons la mise en place d'un réseau de zones de libre-échange répondant à des critères élevés, ferons avancer les négociations sur un accord de partenariat économique régional global, sur une zone de libre-échange Chine-Japon-République de Corée et sur un accord d'investissement Chine-UE, et poursuivrons les consultations économiques et commerciales entre la Chine et les États-Unis.
中国秉持互利合作、共赢发展，一贯主张通过平等协商解决贸易争端。|||Défenseur de la coopération mutuellement bénéfique et du développement gagnant-gagnant, la Chine préconise le règlement des différends commerciaux à travers les négociations sur un pied d'égalité.
我们对作出的承诺认真履行，对自身合法权益坚决维护。|||Nous tiendrons scrupuleusement nos engagements et défendrons résolument nos droits et intérêts légitimes.
（十）加快发展社会事业，更好保障和改善民生。|||Accélérer le développement des secteurs sociaux afin d'améliorer la qualité de la vie.
今年财政收支平衡压力加大，但基本民生投入确保只增不减。|||Cette année, malgré le déséquilibre croissant des finances publiques, les sommes destinées à assurer le bien-être social continueront à augmenter.
支持社会力量增加非基本公共服务供给，满足群众多层次、多样化需求。|||Grâce à notre soutien, les services publics non fondamentaux seront aussi mieux assurés par les acteurs sociaux, de façon à répondre aux besoins divers et multiples de la population.
发展更加公平更有质量的教育。|||Développer une éducation plus équitable et de meilleure qualité.
深化教育教学改革。|||La réforme des modèles d'enseignement et des méthodes pédagogique sera poursuivie.
推进城乡义务教育一体化发展，加快改善乡村学校办学条件，加强乡村教师队伍建设，抓紧解决城镇学校“大班额”问题，保障进城务工人员随迁子女教育，发展“互联网+教育”，促进优质资源共享。|||Pour cela, nous devons promouvoir le développement intégré de l'éducation obligatoire dans les villes et les campagnes, améliorer rapidement la qualité des écoles de village, renforcer le corps enseignant dans les campagnes, en finir au plus vite avec les classes en sureffectif dans les écoles des villes, assurer l'éducation des enfants qui s'installent avec leurs parents migrants en ville, et favoriser, par le développement du plan « Internet + Éducation », le partage des ressources d'excellence.
多渠道扩大学前教育供给，无论是公办还是民办幼儿园，只要符合安全标准、收费合理、家长放心，政府都要支持。|||Nous devons étendre par divers moyens l'offre de l'éducation préscolaire, en accordant un soutien solide aux écoles maternelles publiques et privées, pourvu qu'elles respectent les critères de sécurité, que leurs frais de scolarité soient raisonnables et qu'elles jouissent de la confiance des parents.
推进高中阶段教育普及，办好民族教育、特殊教育、继续教育，依法支持民办教育发展。|||L'éducation secondaire du deuxième cycle sera généralisée, et l'enseignement destiné aux ethnies minoritaires, l'éducation spécialisée ainsi que la formation continue seront développés. Nous soutiendrons, conformément à la loi, le développement de l'enseignement privé.
持续抓好义务教育教师工资待遇落实。|||Le salaire et le traitement des enseignants de la scolarité obligatoire seront assurés.
推进一流大学和一流学科建设，支持中西部建设有特色、高水平大学。|||Nous poursuivrons le développement d'universités et de disciplines de rang mondial, et encouragerons le Centre et l'Ouest à rendre leur enseignement supérieur plus original et plus performant.
今年财力虽然很紧张，国家财政性教育经费占国内生产总值比例继续保持在4%以上，中央财政教育支出安排超过1万亿元。|||Malgré les difficultés financières, les dépenses budgétaires destinées à ce chapitre demeureront supérieures à 4 % du PIB et les finances centrales vont allouer cette année au moins 1 000 milliards de yuans au budget de l'éducation.
我们要切实把宝贵的资金用好，努力办好人民满意的教育，托起明天的希望。|||Nous devons tirer le meilleur profit de chaque denier public pour fournir une éducation qui satisfasse les attentes du peuple et qui porte l'espoir de demain.
保障基本医疗卫生服务。|||Garantir les services médicaux et sanitaires de base.
继续提高城乡居民基本医保和大病保险保障水平，居民医保人均财政补助标准增加30元，一半用于大病保险。|||Nous élèverons continuellement le niveau de protection concernant l'assurance maladie de base et l'assurance contre les maladies graves pour les habitants des villes et des campagnes, en augmentant de 30 yuans par tête l'allocation accordée aux personnes inscrites à l'assurance maladie, somme dont la moitié sera consacrée à l'assurance contre les maladies graves.
降低并统一大病保险起付线，报销比例由50%提高到60%，进一步减轻大病患者、困难群众医疗负担。|||La franchise de l'assurance contre les maladies graves sera abaissée et uniformisée et le taux de remboursement sera porté de 50 à 60 %, afin d'alléger davantage le fardeau qui pèse sur les personnes atteintes de maladies graves ou en difficulté.
加强重大疾病防治。|||La prévention et le traitement des maladies graves seront renforcés.
我国受癌症困扰的家庭以千万计，要实施癌症防治行动，推进预防筛查、早诊早治和科研攻关，着力缓解民生的痛点。|||Soucieux du sort de dizaines de millions de familles touchées par le cancer, nous allons lancer une campagne contre le cancer, en promouvant le dépistage, la consultation et le traitement à temps et en soutenant la recherche médicale.
做好常见慢性病防治，把高血压、糖尿病等门诊用药纳入医保报销。|||Nous accorderons aussi une grande importance à la prévention et au traitement des maladies chroniques fréquentes, en ajoutant à la liste des médicaments remboursables par l'assurance maladie des médicaments prescrits par consultation contre des maladies telles que l'hypertension et le diabète.
加快儿童药物研发。|||La R&D des médicaments pour enfants sera accélérée.
加强罕见病用药保障。|||Nous renforcerons la garantie concernant les médicaments contre les maladies rares.
深化医保支付方式改革，优化医保支出结构。|||Nous approfondirons la réforme du mode de remboursement des frais médicaux par la caisse d'assurance maladie et optimiserons la structure des dépenses de cette dernière.
抓紧落实和完善跨省异地就医直接结算政策，尽快使异地就医患者在所有定点医院能持卡看病、即时结算，切实便利流动人口和随迁老人。|||La politique permettant de régler directement les frais médicaux quelle que soit la province ou la région d'origine de l'assuré sera perfectionnée et mise en œuvre dans les plus brefs délais, de façon à ce que tout assuré puisse recevoir un traitement et être remboursé directement avec sa carte de protection sociale dans tous les hôpitaux désignés, et ce, même hors de la province ou de la région de sa cotisation, ce qui offre des facilités réelles aux populations migrantes et aux personnes âgées qui les accompagnent.
完善药品集中采购和使用机制。|||Le mécanisme d'achat centralisé et d'utilisation des médicaments sera perfectionné.
深化公立医院综合改革。|||La réforme générale des hôpitaux publics sera menée en profondeur.
促进社会办医。|||La construction d'hôpitaux privés sera encouragée.
发展“互联网+医疗健康”，加快建立远程医疗服务体系，加强基层医疗卫生机构能力建设和医护人员培养，提升分级诊疗和家庭医生签约服务质量。|||Nous allons développer l'« Internet + soins médicaux et santé », accélérer l'établissement d'un système de prestation de services médicaux à distance, renforcer la capacité des établissements médicaux et sanitaires au niveau de base ainsi que la formation du personnel soignant, et améliorer le traitement échelonné selon la gravité des maladies et les services médicaux contractuels à domicile.
坚持预防为主，将新增基本公共卫生服务财政补助经费全部用于村和社区，务必让基层群众受益。|||En mettant toujours l'accent sur la prophylaxie, nous augmenterons les subventions d'État aux services de santé publique de base. Ces sommes supplémentaires seront entièrement allouées aux villages et aux quartiers, pour qu'elles profitent sûrement à la population des échelons de base.
抓好传染病、地方病、青少年近视防治。|||Nous veillerons à prévenir et à traiter les maladies contagieuses ou endémiques ainsi que la myopie chez les adolescents.
完善生育配套政策，加强妇幼保健服务。|||Nous allons améliorer les politiques d'accompagnement sur les naissances et renforcer les services gynéco-pédiatriques.
支持中医药事业传承创新发展。|||Par ailleurs, la transmission, la rénovation et le développement de la médecine et de la pharmacopée traditionnelles chinoises recevront tout le soutien nécessaire.
加强健康教育和健康管理。|||Nous renforcerons la gestion de la santé et la vulgarisation des connaissances générales en matière de protection de la santé.
药品疫苗攸关生命安全，必须强化全程监管，对违法者要严惩不贷，对失职渎职者要严肃查办，坚决守住人民群众生命健康的防线。|||Comme chacun le sait, la qualité des médicaments et des vaccins touche directement à la santé. Nous allons donc renforcer les contrôles de la fabrication à la vente, infliger des sanctions sévères à ceux qui violent la loi et punir sévèrement tous ceux qui n'accomplissent pas leur devoir ou abusent de leur autorité dans ce domaine. Par conséquent, nous ne ménagerons aucun effort pour protéger d'un rempart solide la santé des Chinois.
完善社会保障制度和政策。|||Améliorer le système et la politique de protection sociale.
推进多层次养老保障体系建设。继续提高退休人员基本养老金。|||Nous perfectionnerons le système de l'assurance vieillesse à multiples niveaux et augmenterons continuellement le montant de la pension de retraite de base.
落实退役军人待遇保障，完善退役士兵基本养老、基本医疗保险接续政策。|||En ce qui concerne les militaires démobilisés, nous devons assurer les traitements en leur faveur et parfaire les politiques visant à maintenir la continuité de leur assurance vieillesse de base et celle de leur assurance maladie de base.
适当提高城乡低保、专项救助等标准，加强困境儿童保障。加大城镇困难职工脱困力度。提升残疾预防和康复服务水平。|||Le niveau du minimum vital dans les villes et les campagnes ainsi que le niveau de l'assistance spéciale seront augmentés de façon appropriée. En outre, nous renforcerons notre aide aux enfants en difficulté, déploierons plus d'efforts pour sortir de la pauvreté les travailleurs salariés en difficulté et améliorerons les services de prévention et de rééducation des handicapés.
我们要尽力为群众救急解困、雪中送炭，基本民生的底线要坚决兜牢。|||Comme on le voit, nous allons faire l'impossible pour tirer de l'embarras nos concitoyens en difficulté et subvenir aux besoins les plus urgents, afin de construire un socle solide de protection sociale pour les plus démunis.
丰富人民群众精神文化生活。|||Enrichir la vie spirituelle et culturelle de nos concitoyens.
培育和践行社会主义核心价值观，广泛开展群众性精神文明创建活动，大力弘扬奋斗精神、科学精神、劳模精神、工匠精神，汇聚起向上向善的强大力量。|||Nous déploierons de grands efforts pour cultiver et mettre en pratique les valeurs essentielles socialistes, promouvoir les activités visant à valoriser la civilisation spirituelle parmi la population et mettre à l'honneur l'effort, l'esprit scientifique, le zèle du travailleur modèle et la belle ouvrage de l'artisan, afin de rassembler les forces puissantes qui aspirent au progrès et au bien.
加快构建中国特色哲学社会科学。|||La philosophie et les sciences sociales adaptées à la réalité de la Chine seront développées à un rythme accéléré.
加强互联网内容建设。繁荣文艺创作，发展新闻出版、广播影视和档案等事业。|||Nous travaillerons également à enrichir et assainir les sites Internet, favoriserons l'épanouissement de la création littéraire et artistique, et développerons la presse, l'édition, la radiodiffusion, le cinéma, la télévision et l'archivistique.
加强文物保护利用和非物质文化遗产传承。|||La sauvegarde et l'exploitation du patrimoine matériel, ainsi que la perpétuation du patrimoine culturel immatériel seront renforcées.
推动文化事业和文化产业改革发展，提升基层公共文化服务能力。|||Nous promouvrons la culture et l'industrie culturelle en y introduisant des nouveautés, et renforcerons les services culturels publics aux échelons de base.
倡导全民阅读，推进学习型社会建设。|||Nous encouragerons la lecture dans toutes les couches de la population et promouvrons l'édification d'une société favorisant l'apprentissage tout au long de la vie.
深化中外人文交流。|||Les échanges culturels avec les pays étrangers seront menés en profondeur.
广泛开展全民健身活动。|||Par ailleurs, nous encouragerons tous les Chinois à pratiquer l'exercice physique.
扎实做好2020年奥运会、残奥会备战工作，精心筹办北京冬奥会、冬残奥会，办好第七届世界军人运动会。|||Nous allons bien préparer notre participation aux jeux Olympiques et Paralympiques d'été de 2020 ainsi que les jeux Olympiques et Paralympiques d'hiver à Beijing. Nous organiserons au mieux les VIIe Jeux mondiaux militaires.
人民群众身心健康，社会就充满活力，国家就繁荣兴旺。|||Avec un peuple fort au moral comme au physique, la société sera débordante de vitalité et la Chine deviendra prospère et pleine de promesses.
加强和创新社会治理。|||Renforcer et rénover la gouvernance sociale.
推动社会治理重心向基层下移，推广促进社会和谐的“枫桥经验”，构建城乡社区治理新格局。|||Il faut mettre l'accent de la gouvernance sociale sur les échelons de base, généraliser l'expérience de société harmonieuse de Fengqiao et créer une nouvelle architecture pour la gestion des quartiers d'habitation en ville comme à la campagne.
引导支持社会组织、人道救助、志愿服务和慈善事业健康发展。|||Nous orienterons et soutiendrons le développement sain des organisations sociales, de l'aide humanitaire, du bénévolat et des œuvres de bienfaisance.
健全社会信用体系。|||Le système de crédit social sera amélioré.
保障妇女、儿童、老人、残疾人合法权益。|||Les droits et intérêts légitimes des femmes, des enfants, des personnes âgées et des handicapés seront protégés.
改进信访工作，依法及时解决群众合理诉求。|||Nous devons aussi améliorer notre système de doléances populaires orales et écrites, et satisfaire, dans les plus brefs délais et en vertu de la loi, les revendications populaires légitimes.
加强社会心理服务。|||Les services psychologiques seront renforcés.
健全国家应急体系，提高防灾减灾救灾能力。|||Le système national d'alerte et d'intervention en cas d'urgence sera amélioré, ainsi que notre capacité de prévention et de réduction des calamités naturelles et de secours aux sinistrés.
加强安全生产，防范遏制重特大事故。|||Nous renforcerons la sécurité du travail et préviendrons les accidents graves ou extrêmement graves.
做好地震、气象、水文、地质、测绘等工作。|||Nous renforcerons la sismologie, la météorologie, l'hydrologie, la géologie et la topographie.
健全公共法律服务体系，深化普法宣传教育。|||Nous améliorerons le système des services juridiques publics et accroîtrons l'effort de sensibilisation auprès du public en matière de connaissances juridiques élémentaires.
加强国家安全能力建设。|||Notre capacité à assurer la sûreté de l'État sera améliorée.
完善立体化社会治安防控体系，深入推进扫黑除恶专项斗争，依法惩治盗抢骗黄赌毒等违法犯罪活动，打击非法集资、传销等经济犯罪，整治侵犯公民个人信息等突出问题，坚决守护好人民群众的平安生活。|||En outre, nous parachèverons le système de prévention et de contrôle multidimensionnel en vue de maintenir l'ordre public ; intensifierons la lutte contre les bandes mafieuses, punirons sévèrement le vol, les attaques à main armée, les escroqueries, la pornographie, les jeux de hasard et le trafic de drogue ; sévirons contre les crimes économiques comme la collecte illicite de fonds et la vente pyramidale ; et résoudrons les problèmes graves comme les atteintes aux informations privées, de façon à préserver la sérénité et le bonheur de nos concitoyens.
各位代表：|||Mesdames et Messieurs les députés,
新的形势和任务，对政府工作提出了新的更高要求。|||La conjoncture nouvelle et les tâches qui en découlent nous imposent des exigences plus élevées.
各级政府要树牢“四个意识”，坚定“四个自信”，坚决做到“两个维护”，自觉在思想上政治上行动上同以习近平同志为核心的党中央保持高度一致，落实全面从严治党要求，勇于自我革命，深入推进简政放权，加快转职能、提效能，增强政府公信力和执行力，更好满足人民对美好生活的新期待。|||Les gouvernements à tous les niveaux doivent raffermir les « quatre consciences »[ Il s'agit de la conscience politique, de la conscience de l'intérêt général, de la conscience du noyau dirigeant et de la conscience de l'alignement. — N.D.T.] et la « quadruple confiance en soi »[ Il s'agit de la confiance dans notre voie, notre théorie, notre régime et notre culture. — N.D.T.], préserver résolument la position centrale du secrétaire général Xi Jinping dans le Comité central et tout le Parti, ainsi que l'autorité et la direction centralisée et unifiée du Comité central du Parti, agir en parfait accord avec le Comité central du Parti rassemblé autour du camarade Xi Jinping tant dans l'action que sur les plans idéologique et politique, appliquer ses dispositions sur l'application intégrale d'une discipline rigoureuse dans les rangs du Parti, avoir le courage de s'imposer une révolution, mener en profondeur la décentralisation et la simplification administratives, accélérer la transformation de leur rôle et élever l'efficacité de leur travail, afin de renforcer leur capacité d'action effective et leur crédibilité, et de mieux répondre à l'aspiration à une vie meilleure de nos concitoyens
坚持依法全面履职。|||Veiller à ce que les fonctions soient exercées en vertu de la loi.
深入贯彻全面依法治国基本方略，严格遵守宪法法律，把政府活动全面纳入法治轨道。|||Conformément à la stratégie fondamentale de l'édification intégrale d'un État de droit, nous devons observer scrupuleusement la Constitution et la loi, et respecter le principe de la légalité dans toutes les activités gouvernementales.
各级政府要依法接受同级人大及其常委会的监督，自觉接受人民政协的民主监督，主动接受社会和舆论监督，让权力在阳光下运行。|||Tous les échelons du gouvernement doivent se soumettre, conformément à la loi, à la surveillance de l'assemblée populaire du même niveau et de son comité permanent, se placer sous la supervision démocratique de la CCPPC, et accepter la supervision de l'opinion publique et des différents milieux de la société, pour que le pouvoir fonctionne en toute transparence.
政府干的，都应是人民盼的。|||Leur travail doit être entièrement en adéquation avec les aspirations du peuple.
要坚持科学、民主、依法决策，认真听取人大代表、政协委员意见，听取民主党派、工商联、无党派人士和各人民团体意见，听取社会公众和企业意见，使各项政策符合基本国情和客观实际，更接地气、更合民意。|||Nous devons toujours prendre des décisions de manière scientifique, démocratique et légale, être attentifs aux avis donnés par les députés des assemblées populaires et les membres de la CCPPC, tenir compte des remarques faites par les partis démocratiques, la Fédération de l'industrie et du commerce, les personnalités sans affiliation politique et les organisations populaires, et écouter la voix des citoyens et des entreprises, de sorte que toutes les politiques élaborées soient en adéquation avec la situation fondamentale et les conditions réelles du pays, plus proches des réalités du terrain et aptes à répondre aux préoccupations du peuple.
全面推进政务公开。|||La transparence doit être complètement instaurée dans les affaires publiques.
支持工会、共青团、妇联等群团组织更好发挥作用。|||Le rôle des organisations et groupements de masse tels que la Fédération nationale des syndicats, la Ligue de la jeunesse communiste et la Fédération des femmes sera valorisé.
全面落实行政执法责任制和问责制，对一切违法违规的行为都要坚决查处，对一切执法不公正不文明的现象都要坚决整治，对所有行政不作为的人员都要坚决追责。|||Concernant l'application des lois et règlements administratifs, nous devons mettre entièrement en œuvre le système de responsabilité et le système de poursuite en responsabilité en sanctionnant fermement toute enfreinte à la loi et aux règlements, en menant une lutte sans merci contre toutes les injustices et tous les comportements inappropriés ayant lieu au moment de l'exécution de la loi, et en poursuivant avec toute la rigueur qui s'impose tous ceux qui se montrent incompétents.
深入推进党风廉政建设。|||Faire avancer le travail de promotion de la probité dans les rangs du Parti.
扎实开展“不忘初心、牢记使命”主题教育。认真贯彻落实中央八项规定及其实施细则精神，持之以恒纠治“四风”。|||Il est impératif de mener efficacement la campagne ayant pour thème « Rester fidèle à notre engagement initial et garder toujours à l'esprit notre mission », d'appliquer sérieusement l'esprit des « huit recommandations » du Comité central et de leurs modalités d'application, et de lutter constamment contre les « quatre vices ».
加强廉洁政府建设，一体推进不敢腐、不能腐、不想腐。|||Nous devons multiplier nos efforts pour édifier un gouvernement intègre, et lutter contre toute tentative, envie et possibilité de corruption en adoptant une vision d'ensemble.
强化审计监督。|||Le contrôle des comptes sera renforcé.
政府工作人员要自觉接受法律监督、监察监督和人民监督。|||Les fonctionnaires sont tenus de se soumettre volontairement au contrôle des lois, à l'inspection et à la surveillance du peuple.
衡量政绩最终是看结果。|||C'est à l'aune des résultats obtenus que se fera l'évaluation de leurs performances.
各级政府要坚决反对和整治一切形式主义、官僚主义，让干部从文山会海、迎评迎检、材料报表中解脱出来，把精力用在解决实际问题上。|||Les autorités aux différents échelons doivent réprimer avec détermination toute forme de formalisme et de bureaucratie pour que les cadres puissent se concentrer sur la résolution des problèmes concrets, au lieu de perdre leur temps dans la paperasserie, la « réunionnite », la rédaction d'une multitude de documents et rapports, sans parler de tout le temps perdu à accueillir et satisfaire les missions d'évaluation et de supervision.
压减和规范督查检查考核事项，实施“互联网+督查”。|||Nous allons réduire et régulariser les activités faisant l'objet d'inspection, de contrôle et d'évaluation, et mettre en œuvre l'« Internet + Inspection ».
减少开会和发文数量，今年国务院及其部门要带头大幅精简会议、坚决把文件压减三分之一以上。|||Le nombre des réunions et la quantité des documents seront réduits. Cette année, le Conseil des affaires d'État et ses services donneront l'exemple en réduisant considérablement le nombre des réunions et en éliminant de plus d'un tiers le nombre total des documents.
切实强化责任担当。|||Renforcer véritablement le sens des responsabilités.
中国改革发展的巨大成就，是广大干部群众筚路蓝缕、千辛万苦干出来的。|||Les succès remarquables que la Chine a obtenus au cours de sa réforme et de son développement ont été possibles grâce aux efforts acharnés de l'immense masse des cadres et des citoyens ordinaires.
实现“两个一百年”奋斗目标，成就中国人民的幸福与追求，还得长期不懈地干。|||Si nous voulons atteindre les objectifs des « deux centenaires »[ Il s'agit d'achever pour le centenaire du Parti communiste chinois l'édification intégrale de la société de moyenne aisance et, pour le centenaire de la République populaire de Chine, l'édification d'un État socialiste moderne, puissant, démocratique, civilisé et harmonieux. — N.D.T.], satisfaire les aspirations du peuple chinois et lui assurer ainsi le bonheur, nous devons travailler sans relâche et sur le long terme.
为政以公，行胜于言。|||L'administration travaille dans l'intérêt public, et les actes sont plus importants que les paroles.
各级政府及其工作人员要求真务实、力戒浮华，以推动改革发展的成果说话，以干事创业的实绩交卷。|||Tous les échelons du gouvernement et leurs fonctionnaires doivent rechercher la vérité, s'attacher à la réalité, éviter tout travail pour la galerie et faire preuve d'esprit d'initiative et d'entrepreneuriat pour obtenir des résultats palpables servant à promouvoir le succès de la réforme et du développement.
健全激励约束机制和尽职免责机制，营造干部愿干事、敢干事、能干成事的环境。|||Il est important de perfectionner le mécanisme d'incitation et de contrainte ainsi que le mécanisme d'exclusion de responsabilité, et de créer des conditions favorables à ce que les cadres aient la volonté et le courage d'agir, et aient les moyens de réussir.
更好发挥中央和地方两个积极性，尊重基层和群众首创精神，为地方大胆探索提供激励、留足空间。|||Nous devons mobiliser plus efficacement les autorités au niveau central comme au niveau local, respecter l'initiative des échelons de base et du peuple, et donner libre cours à l'audace et à l'esprit pionnier des autorités locales en prenant des mesures d'incitation et en leur laissant des marges de manœuvre suffisantes.
广大干部要树立强烈的事业心和进取心，事不避难、义不逃责，埋头苦干、结合实际创造性地干，努力干出无愧于人民的新业绩，干出中国发展的新辉煌。|||Tous nos cadres doivent se montrer dévoués et actifs, ne jamais reculer devant les difficultés ni se dérober à leurs responsabilités. Ils auront à faire des efforts ardus et à sortir des sentiers battus tout en ne perdant pas de vue la situation concrète, afin de réaliser de nouveaux exploits qui servent le développement du pays et qui soient à la hauteur des attentes de notre peuple.
各位代表：|||Mesdames et Messieurs les députés,
我们要坚持和完善民族区域自治制度，全面贯彻党的民族政策，深化民族团结进步教育，铸牢中华民族共同体意识，促进各民族和睦相处、和衷共济、和谐发展。|||Nous devons préserver, tout en le perfectionnant, le système d'autonomie des régions peuplées de minorités ethniques, appliquer dans son intégralité la politique du Parti en matière ethnique et développer les campagnes de sensibilisation pour l'union et le progrès de toutes les ethnies, pour que celles-ci, tout en renforçant leur sentiment d'appartenance à la communauté nationale chinoise, coexistent dans la bonne entente, se montrent solidaires l'une de l'autre et progressent en harmonie.
加大对民族地区和人口较少民族发展的支持，深入实施兴边富民行动，同心协力建设56个民族共同团结奋斗、共同繁荣发展的美好家园。|||Nous accorderons plus de soutien au développement des régions peuplées d'ethnies minoritaires et des ethnies dont la population est peu nombreuse, poursuivrons le plan d'action visant à relancer l'économie des régions frontalières et à enrichir leurs habitants, pour construire ensemble un beau foyer où nos 56 ethnies mènent une lutte solidaire et progressent ensemble vers la prospérité.
我们要全面贯彻党的宗教工作基本方针，坚持我国宗教的中国化方向，依法管理宗教事务，发挥宗教界人士和信教群众在促进经济社会发展中的积极作用。|||Il nous faut appliquer sur toute la ligne la politique fondamentale du Parti en matière d'affaires religieuses, veiller à ce que les religions se conforment mieux à la réalité chinoise, administrer les affaires religieuses en vertu de la loi, et valoriser le rôle positif des personnalités religieuses et des croyants dans la promotion du développement économique et du progrès social.
我们要认真落实侨务政策，保障海外侨胞和归侨侨眷合法权益，改善和加强服务，发挥好他们的独特优势和重要作用，画好海内外中华儿女的最大同心圆，汇聚起共创辉煌的澎湃力量。|||Nous devons appliquer consciencieusement la politique à l'égard des ressortissants chinois, protéger les droits et intérêts légitimes des Chinois résidant à l'étranger, des Chinois d'outre-mer revenus dans leur patrie et leur famille, améliorer et renforcer les services et faire valoir leurs atouts spécifiques et leur rôle important, en vue de trouver le plus grand terrain d'entente possible pour tous les Chinois, qu'ils résident en Chine ou à l'étranger, et de former une force puissante qui créera un avenir radieux pour la nation chinoise.
各位代表：|||Mesdames et Messieurs les députés,
过去一年，国防和军队建设扎实推进，强军事业展现许多新气象新作为。|||Pendant l'année écoulée, l'édification de la défense nationale et des forces armées a avancé à pas assurés, de sorte que de nouvelles dynamiques ont été créées et de nouveaux progrès ont été réalisés dans la montée en puissance de l'armée.
新的一年，要继续以党在新时代的强军目标为引领，牢固确立习近平强军思想在国防和军队建设中的指导地位，深入推进政治建军、改革强军、科技兴军、依法治军。|||Durant l'année à venir, nous devrons poursuivre l'objectif du Parti concernant la montée en puissance de l'armée dans la nouvelle ère ; confirmer résolument le rôle directeur de la pensée de Xi Jinping sur la montée en puissance de l'armée dans l'édification de la défense nationale et des forces armées ; et travailler de manière approfondie à l'édification de l'armée sur le plan politique, au renforcement de l'armée par la réforme, au renouveau de l'armée par les sciences et technologies, ainsi qu'à l'administration de l'armée en vertu de la loi.
